[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,linear-collection,dynamic,400,0,0.247760034715392,288,45.99123,20292,4.800065
2,10,20,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
3,10,30,no-visualization,linear-collection,dynamic,400,0,0.247760034715392,288,45.99123,20292,4.800065
4,10,40,no-visualization,linear-collection,dynamic,400,0,0.247760034715392,288,45.99123,20292,4.800065
5,10,50,no-visualization,linear-collection,dynamic,400,0,0.247760034715392,288,45.99123,20292,4.800065
6,10,60,no-visualization,linear-collection,dynamic,400,0,0.247760034715392,288,45.99123,20292,4.800065
7,10,70,no-visualization,linear-collection,dynamic,400,0,0.247760034715392,288,45.99123,20292,4.800065
8,10,80,no-visualization,linear-collection,dynamic,400,0,0.247760034715392,288,45.99123,20292,4.800065
9,10,90,no-visualization,linear-collection,dynamic,400,0,0.247760034715392,288,45.99123,20292,4.800065
10,10,100,no-visualization,linear-collection,dynamic,400,0,0.247760034715392,288,45.99123,20292,4.800065
11,10,110,no-visualization,linear-collection,dynamic,400,0,0.247760034715392,288,45.99123,20292,4.800065
12,10,120,no-visualization,linear-collection,dynamic,400,0,0.247760034715392,288,45.99123,20292,4.800065
13,10,130,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
14,10,140,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
15,10,150,no-visualization,linear-collection,dynamic,400,0,0.247760034715392,288,45.99123,20292,4.800065
16,10,160,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
17,10,170,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
18,10,180,no-visualization,linear-collection,dynamic,400,0,0.247760034715392,288,45.99123,20292,4.800065
19,10,190,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
20,10,200,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
21,20,10,no-visualization,linear-collection,dynamic,400,1500,0.208725248844652,8765,12.03667,4981,0.52932
22,20,20,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
23,20,30,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
24,20,40,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
25,20,50,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
26,20,60,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
27,20,70,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
28,20,80,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
29,20,90,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
30,20,100,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
31,20,110,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
32,20,120,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
33,20,130,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
34,20,140,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
35,20,150,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
36,20,160,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
37,20,170,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
38,20,180,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
39,20,190,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
40,20,200,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
41,30,10,no-visualization,linear-collection,dynamic,400,1500,0.282273127328774,5836,11.700985,4417,0.63133
42,30,20,no-visualization,linear-collection,dynamic,400,1500,0.277841706880307,5330,12.454425,4939,0.755235
43,30,30,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
44,30,40,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
45,30,50,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
46,30,60,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
47,30,70,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
48,30,80,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
49,30,90,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
50,30,100,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
51,30,110,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
52,30,120,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
53,30,130,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
54,30,140,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
55,30,150,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
56,30,160,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
57,30,170,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
58,30,180,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
59,30,190,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
60,30,200,no-visualization,linear-collection,dynamic,400,0,0.208725248844652,8765,12.03667,4981,0.52932
61,40,10,no-visualization,linear-collection,dynamic,400,1500,0.29437600127395,5416,12.439445,4741,0.809949999999999
62,40,20,no-visualization,linear-collection,dynamic,400,1500,0.295834992588223,4776,12.955225,5068,0.960095
63,40,30,no-visualization,linear-collection,dynamic,400,1500,0.29827420330073,4240,13.594225,5418,1.122
64,40,40,no-visualization,linear-collection,dynamic,400,0,0.295834992588223,4776,12.955225,5068,0.960095
65,40,50,no-visualization,linear-collection,dynamic,400,0,0.295834992588223,4776,12.955225,5068,0.960095
66,40,60,no-visualization,linear-collection,dynamic,400,0,0.295834992588223,4776,12.955225,5068,0.960095
67,40,70,no-visualization,linear-collection,dynamic,400,0,0.295834992588223,4776,12.955225,5068,0.960095
68,40,80,no-visualization,linear-collection,dynamic,400,0,0.295834992588223,4776,12.955225,5068,0.960095
