[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
2,10,20,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
3,10,30,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
4,10,40,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
5,10,50,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
6,10,60,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
7,10,70,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
8,10,80,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
9,10,90,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
10,10,100,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
11,10,110,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
12,10,120,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
13,10,130,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
14,10,140,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
15,10,150,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
16,10,160,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
17,10,170,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
18,10,180,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
19,10,190,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
20,10,200,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
21,20,10,no-visualization,linear-collection,poorest,400,1500,0.271230299573981,3507,9.34202,3713,0.434475
22,20,20,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
23,20,30,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
24,20,40,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
25,20,50,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
26,20,60,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
27,20,70,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
28,20,80,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
29,20,90,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
30,20,100,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
31,20,110,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
32,20,120,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
33,20,130,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
34,20,140,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
35,20,150,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
36,20,160,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
37,20,170,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
38,20,180,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
39,20,190,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
40,20,200,no-visualization,linear-collection,poorest,400,0,0.264219904379395,0,48.33896,20457,6.60768
41,30,10,no-visualization,linear-collection,poorest,400,1500,0.307187799633019,3035,9.664605,3840,0.612895
42,30,20,no-visualization,linear-collection,poorest,400,1500,0.335797279060258,2475,10.335425,4244,0.751705
43,30,30,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
44,30,40,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
45,30,50,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
46,30,60,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
47,30,70,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
48,30,80,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
49,30,90,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
50,30,100,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
51,30,110,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
52,30,120,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
53,30,130,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
54,30,140,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
55,30,150,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
56,30,160,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
57,30,170,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
58,30,180,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
59,30,190,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
60,30,200,no-visualization,linear-collection,poorest,400,0,0.307187799633019,3035,9.664605,3840,0.612895
61,40,10,no-visualization,linear-collection,poorest,400,1500,0.337245176083445,2395,10.50536,4221,0.773245
62,40,20,no-visualization,linear-collection,poorest,400,1500,0.31933118861235,1592,11.20383,4310,0.93706
63,40,30,no-visualization,linear-collection,poorest,400,1500,0.297631362750679,954,12.09804,5228,1.14636
64,40,40,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
65,40,50,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
66,40,60,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
67,40,70,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
68,40,80,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
69,40,90,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
70,40,100,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
71,40,110,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
72,40,120,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
73,40,130,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
74,40,140,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
75,40,150,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
76,40,160,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
77,40,170,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
78,40,180,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
79,40,190,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
80,40,200,no-visualization,linear-collection,poorest,400,0,0.31933118861235,1592,11.20383,4310,0.93706
81,50,10,no-visualization,linear-collection,poorest,400,1500,0.330321590871761,1535,11.215935,4421,0.963735
82,50,20,no-visualization,linear-collection,poorest,400,1500,0.28623337020839,928,12.351365,4707,1.12274
83,50,30,no-visualization,linear-collection,poorest,400,1500,0.258635573800861,764,13.544235,5491,1.27965
84,50,40,no-visualization,linear-collection,poorest,400,1500,0.281861652296139,419,14.03074,5609,1.43597
85,50,50,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
86,50,60,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
87,50,70,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
88,50,80,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
89,50,90,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
90,50,100,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
91,50,110,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
92,50,120,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
93,50,130,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
94,50,140,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
95,50,150,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
96,50,160,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
97,50,170,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
98,50,180,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
99,50,190,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
100,50,200,no-visualization,linear-collection,poorest,400,0,0.258635573800861,764,13.544235,5491,1.27965
101,60,10,no-visualization,linear-collection,poorest,400,1500,0.322548415067308,970,11.864935,4194,1.152135
102,60,20,no-visualization,linear-collection,poorest,400,1500,0.286223881335229,639,13.11187,6145,1.32599
103,60,30,no-visualization,linear-collection,poorest,400,1500,0.266895517690151,401,14.341955,5592,1.435155
104,60,40,no-visualization,linear-collection,poorest,400,1500,0.277945144119625,187,14.95369,6333,1.593225
105,60,50,no-visualization,linear-collection,poorest,400,1500,0.221673185173128,119,17.329525,6793,1.79246
106,60,60,no-visualization,linear-collection,poorest,400,0,0.277945144119625,187,14.95369,6333,1.593225
107,60,70,no-visualization,linear-collection,poorest,400,0,0.277945144119625,187,14.95369,6333,1.593225
108,60,80,no-visualization,linear-collection,poorest,400,0,0.277945144119625,187,14.95369,6333,1.593225
109,60,90,no-visualization,linear-collection,poorest,400,0,0.277945144119625,187,14.95369,6333,1.593225
110,60,100,no-visualization,linear-collection,poorest,400,0,0.277945144119625,187,14.95369,6333,1.593225
111,60,110,no-visualization,linear-collection,poorest,400,0,0.277945144119625,187,14.95369,6333,1.593225
112,60,120,no-visualization,linear-collection,poorest,400,0,0.277945144119625,187,14.95369,6333,1.593225
113,60,130,no-visualization,linear-collection,poorest,400,0,0.277945144119625,187,14.95369,6333,1.593225
114,60,140,no-visualization,linear-collection,poorest,400,0,0.277945144119625,187,14.95369,6333,1.593225
115,60,150,no-visualization,linear-collection,poorest,400,0,0.277945144119625,187,14.95369,6333,1.593225
116,60,160,no-visualization,linear-collection,poorest,400,0,0.277945144119625,187,14.95369,6333,1.593225
117,60,170,no-visualization,linear-collection,poorest,400,0,0.277945144119625,187,14.95369,6333,1.593225
118,60,180,no-visualization,linear-collection,poorest,400,0,0.277945144119625,187,14.95369,6333,1.593225
119,60,190,no-visualization,linear-collection,poorest,400,0,0.277945144119625,187,14.95369,6333,1.593225
120,60,200,no-visualization,linear-collection,poorest,400,0,0.277945144119625,187,14.95369,6333,1.593225
121,70,10,no-visualization,linear-collection,poorest,400,1500,0.273595187133261,724,13.50219,5378,1.289925
122,70,20,no-visualization,linear-collection,poorest,400,1500,0.291426400742559,387,13.87703,5580,1.43481
123,70,30,no-visualization,linear-collection,poorest,400,1500,0.259791529058498,191,15.28311,6276,1.58239
124,70,40,no-visualization,linear-collection,poorest,400,1500,0.226841175122842,167,17.025185,5620,1.80124
125,70,50,no-visualization,linear-collection,poorest,400,1500,0.212498963466596,27,18.762345,7687,2.04277
126,70,60,no-visualization,linear-collection,poorest,400,1500,0.195287838011718,0,20.596925,7323,2.33707
127,70,70,no-visualization,linear-collection,poorest,400,0,0.212498963466596,27,18.762345,7687,2.04277
128,70,80,no-visualization,linear-collection,poorest,400,0,0.212498963466596,27,18.762345,7687,2.04277
129,70,90,no-visualization,linear-collection,poorest,400,0,0.212498963466596,27,18.762345,7687,2.04277
130,70,100,no-visualization,linear-collection,poorest,400,0,0.212498963466596,27,18.762345,7687,2.04277
131,70,110,no-visualization,linear-collection,poorest,400,0,0.212498963466596,27,18.762345,7687,2.04277
