maximum-sugar-endowment,minimum-sugar-endowment,taxation,redistribution,avg-gini,starvation,avg-wealth,total-wealth,avg-diff,etiqueta
11,10,linear-collection,uniform,0.208349156009171,34203,11.24714,4456,0.444180000000001,1.0
12,10,linear-collection,uniform,0.200215286411688,34072,11.50128,4521,0.45154,1.0
13,10,linear-collection,uniform,0.196587928083163,33086,11.66057,4495,0.451965,1.0
14,10,linear-collection,uniform,0.192337796960817,33025,11.64884,4742,0.436825,1.0
15,10,linear-collection,dynamic,0.193457964327423,32512,11.885375,4557,0.44882,3.0
16,10,linear-collection,uniform,0.194873878853491,31931,11.907715,4644,0.47418,1.0
17,10,linear-collection,dynamic,0.191315616006812,31698,12.057375,4900,0.471685,3.0
18,10,linear-collection,uniform,0.191730399552239,31942,12.175095,5098,0.495435,1.0
19,10,linear-collection,dynamic,0.197273402732242,30429,12.21633,4964,0.51325,3.0
20,10,linear-collection,uniform,0.20229020262607,31286,12.31297,5050,0.53558,1.0
21,10,linear-collection,uniform,0.202300866193419,31289,12.73272,5091,0.52976,1.0
22,10,linear-collection,uniform,0.204115115435827,30926,12.77638,5053,0.54834,1.0
23,10,linear-collection,uniform,0.205257435426348,30619,12.839335,5214,0.563885,1.0
24,10,linear-collection,uniform,0.208202795417073,30556,12.81378,4960,0.584645,1.0
25,10,linear-collection,uniform,0.209458380637811,30767,12.9664,5143,0.609815,1.0
26,10,linear-collection,uniform,0.211227960075079,30531,12.9834,5154,0.62224,1.0
27,10,linear-collection,uniform,0.212584539956912,29942,12.94469,5298,0.654505000000001,1.0
28,10,linear-collection,uniform,0.212033126977037,30016,13.158535,5275,0.64504,1.0
29,10,linear-collection,uniform,0.213700412954449,29990,13.14808,5200,0.680965,1.0
30,10,linear-collection,uniform,0.217962654696509,29775,13.243205,5299,0.706830000000001,1.0
31,10,linear-collection,uniform,0.21888631082159,29677,13.290695,5353,0.735894999999999,1.0
32,10,linear-collection,uniform,0.222320239029292,29689,13.323315,5353,0.76071,1.0
33,10,linear-collection,uniform,0.220591545655415,29177,13.401725,5275,0.754349999999999,1.0
