maximum-sugar-endowment,minimum-sugar-endowment,taxation,redistribution,avg-gini,starvation,avg-wealth,total-wealth,avg-diff,etiqueta
11,10,uniform-collection,uniform,0.351900422654611,34284,17.86152,7027,0.77795,4.0
12,10,uniform-collection,uniform,0.348579960863245,33969,17.66547,7299,0.773415,4.0
13,10,uniform-collection,uniform,0.341796961623094,33242,17.769915,7102,0.778395,4.0
14,10,uniform-collection,uniform,0.335555239414373,32807,18.091945,7088,0.776824999999999,4.0
15,10,uniform-collection,uniform,0.331181585401061,32168,18.15472,7522,0.763175,4.0
16,10,uniform-collection,uniform,0.327267339948015,31464,18.417975,7290,0.756140000000001,4.0
17,10,uniform-collection,uniform,0.32376292693605,30988,18.31635,7736,0.77185,4.0
18,10,uniform-collection,uniform,0.316758648941547,30492,18.70863,7403,0.766479999999999,4.0
19,10,uniform-collection,uniform,0.31015530890088,29950,18.80532,7749,0.756125,4.0
20,10,uniform-collection,uniform,0.310769384179271,29643,18.95581,7302,0.7658,4.0
21,10,uniform-collection,uniform,0.304136167682281,29167,18.973355,7228,0.748345,4.0
22,10,uniform-collection,uniform,0.301978368579234,29275,19.012025,7681,0.763035,4.0
23,10,uniform-collection,uniform,0.303231105094785,28779,19.01371,7870,0.77266,4.0
24,10,uniform-collection,uniform,0.296605228347,28056,19.237815,7868,0.779055,4.0
25,10,uniform-collection,uniform,0.292908318676967,27973,19.29225,8064,0.776704999999999,4.0
26,10,uniform-collection,uniform,0.292842690643504,28135,19.620135,8180,0.794360000000001,4.0
27,10,uniform-collection,uniform,0.298141541794512,28138,19.856725,7987,0.824375,4.0
28,10,uniform-collection,uniform,0.294776397330081,27309,19.870855,8190,0.825035,4.0
29,10,uniform-collection,uniform,0.293448746206233,27343,20.053025,8353,0.822595,4.0
30,10,uniform-collection,uniform,0.292713165643294,26867,20.30662,8126,0.83402,4.0
31,10,uniform-collection,uniform,0.293378382561813,26903,20.65818,7941,0.830955,4.0
32,10,uniform-collection,uniform,0.294336176374969,26432,20.61239,8119,0.855635,4.0
33,10,uniform-collection,uniform,0.289227381786647,26350,20.843865,8073,0.854289999999999,4.0
34,10,uniform-collection,uniform,0.29353699800374,26136,21.39411,8363,0.86495,4.0
35,10,uniform-collection,uniform,0.291957565200186,26071,21.17338,8371,0.877399999999999,4.0
36,10,uniform-collection,uniform,0.294641142516947,26002,21.369285,7994,0.8969,4.0
37,10,uniform-collection,uniform,0.29049147298243,25728,21.497225,8731,0.904345,4.0
38,10,uniform-collection,uniform,0.295386385702813,25446,21.78059,9080,0.92833,4.0
39,10,uniform-collection,uniform,0.292682605478226,25315,21.79538,9192,0.94535,4.0
40,10,uniform-collection,uniform,0.291167244757467,25278,22.01194,8989,0.926064999999999,4.0
41,10,uniform-collection,uniform,0.295783905014449,25231,22.212225,8803,0.958425,4.0
42,10,uniform-collection,uniform,0.289514116773906,24855,22.793565,9036,0.946575,4.0
43,10,uniform-collection,uniform,0.293299044498111,24501,22.551795,8820,0.967055,4.0
44,10,uniform-collection,uniform,0.293870925072411,24758,22.880385,9322,0.961845,4.0
45,10,uniform-collection,uniform,0.292880903946801,24425,23.05189,9399,0.998294999999999,4.0
46,10,uniform-collection,uniform,0.294969197942256,24298,22.955455,9120,1.009615,4.0
47,10,uniform-collection,uniform,0.295292139501575,24168,23.34604,9089,1.04854,4.0
48,10,uniform-collection,uniform,0.293016776577087,24018,23.696115,9394,1.03542,4.0
49,10,uniform-collection,uniform,0.297076051129083,23956,23.551045,9404,1.061895,4.0
50,10,uniform-collection,uniform,0.296119770607032,23933,23.859205,9836,1.088685,4.0
51,10,uniform-collection,uniform,0.297142076462433,23705,24.01937,9177,1.095285,4.0
52,10,uniform-collection,uniform,0.294604601839683,23641,24.204855,9832,1.089365,4.0
53,10,uniform-collection,uniform,0.297270059075252,23557,24.16023,9794,1.111715,4.0
54,10,uniform-collection,uniform,0.294589911377672,23178,24.728285,10416,1.13336,4.0
55,10,uniform-collection,uniform,0.297291857496568,23242,24.932775,9866,1.183785,4.0
56,10,uniform-collection,uniform,0.297662983211596,23251,24.92082,9596,1.19203,4.0
57,10,uniform-collection,uniform,0.299346257935092,22897,25.15294,9834,1.167375,4.0
58,10,uniform-collection,uniform,0.302514783934442,22878,25.119715,10397,1.211445,4.0
59,10,uniform-collection,uniform,0.300757755490629,22679,25.546045,10413,1.212245,4.0
60,10,uniform-collection,uniform,0.306047246751008,22564,25.55962,10042,1.242085,4.0
61,10,uniform-collection,uniform,0.306000036346979,22391,25.97141,10242,1.2701,4.0
62,10,uniform-collection,uniform,0.304805177181808,22656,26.223195,10186,1.292405,4.0
63,10,uniform-collection,uniform,0.306541186324945,22529,26.268575,11201,1.299485,4.0
64,10,uniform-collection,uniform,0.307541550021581,22519,26.57695,10983,1.297705,4.0
65,10,uniform-collection,uniform,0.310152396337218,22024,26.516175,10565,1.322015,4.0
