[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
2,10,20,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
3,10,30,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
4,10,40,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
5,10,50,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
6,10,60,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
7,10,70,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
8,10,80,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
9,10,90,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
10,10,100,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
11,10,110,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
12,10,120,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
13,10,130,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
14,10,140,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
15,10,150,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
16,10,160,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
17,10,170,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
18,10,180,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
19,10,190,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
20,10,200,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
21,20,10,no-visualization,dynamic-collection,linear,400,1500,0.0757172316983093,681,11.64696,4687,0.5282
22,20,20,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
23,20,30,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
24,20,40,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
25,20,50,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
26,20,60,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
27,20,70,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
28,20,80,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
29,20,90,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
30,20,100,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
31,20,110,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
32,20,120,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
33,20,130,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
34,20,140,no-visualization,dynamic-collection,linear,400,0,0.0518839910746769,0,187.60722,75557,0.856305000000001
