[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,linear-collection,dynamic,400,0,0.017664893665655,0,181.61723,73664,0.66122
2,10,20,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
3,10,30,no-visualization,linear-collection,dynamic,400,0,0.017664893665655,0,181.61723,73664,0.66122
4,10,40,no-visualization,linear-collection,dynamic,400,0,0.017664893665655,0,181.61723,73664,0.66122
5,10,50,no-visualization,linear-collection,dynamic,400,0,0.017664893665655,0,181.61723,73664,0.66122
6,10,60,no-visualization,linear-collection,dynamic,400,0,0.017664893665655,0,181.61723,73664,0.66122
7,10,70,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
8,10,80,no-visualization,linear-collection,dynamic,400,0,0.017664893665655,0,181.61723,73664,0.66122
9,10,90,no-visualization,linear-collection,dynamic,400,0,0.017664893665655,0,181.61723,73664,0.66122
10,10,100,no-visualization,linear-collection,dynamic,400,0,0.017664893665655,0,181.61723,73664,0.66122
11,10,110,no-visualization,linear-collection,dynamic,400,0,0.017664893665655,0,181.61723,73664,0.66122
12,10,120,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
13,10,130,no-visualization,linear-collection,dynamic,400,0,0.017664893665655,0,181.61723,73664,0.66122
14,10,140,no-visualization,linear-collection,dynamic,400,0,0.017664893665655,0,181.61723,73664,0.66122
15,10,150,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
16,10,160,no-visualization,linear-collection,dynamic,400,0,0.017664893665655,0,181.61723,73664,0.66122
17,10,170,no-visualization,linear-collection,dynamic,400,0,0.017664893665655,0,181.61723,73664,0.66122
18,10,180,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
19,10,190,no-visualization,linear-collection,dynamic,400,0,0.017664893665655,0,181.61723,73664,0.66122
20,10,200,no-visualization,linear-collection,dynamic,400,0,0.017664893665655,0,181.61723,73664,0.66122
21,20,10,no-visualization,linear-collection,dynamic,400,1500,0.0743649901623254,807,13.550635,5214,0.31078
22,20,20,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
23,20,30,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
24,20,40,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
25,20,50,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
26,20,60,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
27,20,70,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
28,20,80,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
29,20,90,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
30,20,100,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
31,20,110,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
32,20,120,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
33,20,130,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
34,20,140,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
35,20,150,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
36,20,160,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
37,20,170,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
38,20,180,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
39,20,190,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
40,20,200,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
41,30,10,no-visualization,linear-collection,dynamic,400,1500,0.0345987099499206,736,18.205545,7196,0.561635
42,30,20,no-visualization,linear-collection,dynamic,400,1500,0.0265016855842462,707,21.501665,8390,0.66319
43,30,30,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
44,30,40,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
45,30,50,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
46,30,60,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
47,30,70,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
48,30,80,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
49,30,90,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
50,30,100,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
51,30,110,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
52,30,120,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
53,30,130,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
54,30,140,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
55,30,150,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
56,30,160,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
57,30,170,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
58,30,180,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
59,30,190,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
60,30,200,no-visualization,linear-collection,dynamic,400,0,0.0743649901623254,807,13.550635,5214,0.31078
61,40,10,no-visualization,linear-collection,dynamic,400,1500,0.0381318096274246,593,20.52104,8163,0.723925
62,40,20,no-visualization,linear-collection,dynamic,400,1500,0.0257151563674027,170,23.061845,8900,0.800154999999999
