[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,linear-collection,poorest,400,0,0.0385703222269464,0,188.256895,74886,19.69694
2,10,20,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
3,10,30,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
4,10,40,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
5,10,50,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
6,10,60,no-visualization,linear-collection,poorest,400,0,0.0385703222269464,0,188.256895,74886,19.69694
7,10,70,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
8,10,80,no-visualization,linear-collection,poorest,400,0,0.0385703222269464,0,188.256895,74886,19.69694
9,10,90,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
10,10,100,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
11,10,110,no-visualization,linear-collection,poorest,400,0,0.0385703222269464,0,188.256895,74886,19.69694
12,10,120,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
13,10,130,no-visualization,linear-collection,poorest,400,0,0.0385703222269464,0,188.256895,74886,19.69694
14,10,140,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
15,10,150,no-visualization,linear-collection,poorest,400,0,0.0385703222269464,0,188.256895,74886,19.69694
16,10,160,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
17,10,170,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
18,10,180,no-visualization,linear-collection,poorest,400,0,0.0385703222269464,0,188.256895,74886,19.69694
19,10,190,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
20,10,200,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
21,20,10,no-visualization,linear-collection,poorest,400,1500,0.188153722953336,295,9.179465,4422,0.656809999999999
22,20,20,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
23,20,30,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
24,20,40,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
25,20,50,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
26,20,60,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
27,20,70,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
28,20,80,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
29,20,90,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
30,20,100,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
31,20,110,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
32,20,120,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
33,20,130,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
34,20,140,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
35,20,150,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
