[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
2,10,20,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
3,10,30,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
4,10,40,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
5,10,50,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
6,10,60,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
7,10,70,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
8,10,80,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
9,10,90,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
10,10,100,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
11,10,110,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
12,10,120,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
13,10,130,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
14,10,140,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
15,10,150,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
16,10,160,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
17,10,170,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
18,10,180,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
19,10,190,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
20,10,200,no-visualization,linear-collection,linear,400,0,0.0101241109301269,0,180.33143,72967,5.298915
21,20,10,no-visualization,linear-collection,linear,400,1500,0.0575619703642141,749,12.0225,5541,0.437550000000001
22,20,20,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
23,20,30,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
24,20,40,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
25,20,50,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
26,20,60,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
27,20,70,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
28,20,80,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
29,20,90,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
30,20,100,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
31,20,110,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
32,20,120,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
33,20,130,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
34,20,140,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
35,20,150,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
36,20,160,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
37,20,170,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
38,20,180,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
39,20,190,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
40,20,200,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
41,30,10,no-visualization,linear-collection,linear,400,1500,0.0454239423928863,243,14.187275,4976,0.690155
42,30,20,no-visualization,linear-collection,linear,400,1500,0.0357313899755597,124,17.14287,7393,1.051545
43,30,30,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
44,30,40,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
45,30,50,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
46,30,60,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
47,30,70,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
48,30,80,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
49,30,90,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
50,30,100,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
51,30,110,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
52,30,120,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
53,30,130,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
54,30,140,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
55,30,150,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
56,30,160,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
57,30,170,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
58,30,180,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
59,30,190,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
60,30,200,no-visualization,linear-collection,linear,400,0,0.0575619703642141,749,12.0225,5541,0.437550000000001
61,40,10,no-visualization,linear-collection,linear,400,1500,0.0419646681171115,82,17.48376,6982,1.186495
62,40,20,no-visualization,linear-collection,linear,400,1500,0.036470165423184,0,21.571005,9349,1.650375
63,40,30,no-visualization,linear-collection,linear,400,1500,0.0337687469671228,0,28.058625,10447,2.404195
64,40,40,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
65,40,50,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
66,40,60,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
67,40,70,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
68,40,80,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
69,40,90,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
70,40,100,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
71,40,110,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
72,40,120,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
73,40,130,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
74,40,140,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
75,40,150,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
76,40,160,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
77,40,170,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
78,40,180,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
79,40,190,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
80,40,200,no-visualization,linear-collection,linear,400,0,0.036470165423184,0,21.571005,9349,1.650375
81,50,10,no-visualization,linear-collection,linear,400,1500,0.0413280021584274,0,21.308545,9114,1.617415
82,50,20,no-visualization,linear-collection,linear,400,1500,0.0386607473309799,0,25.814505,10776,2.277145
83,50,30,no-visualization,linear-collection,linear,400,1500,0.0342930304672955,0,31.66862,12149,2.827885
84,50,40,no-visualization,linear-collection,linear,400,1500,0.0349203305398883,0,36.37589,14842,3.43862
