[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
2,10,20,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
3,10,30,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
4,10,40,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
5,10,50,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
6,10,60,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
7,10,70,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
8,10,80,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
9,10,90,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
10,10,100,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
11,10,110,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
12,10,120,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
13,10,130,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
14,10,140,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
15,10,150,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
16,10,160,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
17,10,170,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
18,10,180,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
19,10,190,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
20,10,200,no-visualization,uniform-collection,dynamic,400,0,0.012931399098937,0,183.498355,72620,6.996065
21,20,10,no-visualization,uniform-collection,dynamic,400,1500,0.388725870893677,1399,14.43792,5783,0.55363
22,20,20,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
23,20,30,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
24,20,40,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
25,20,50,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
26,20,60,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
27,20,70,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
