[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,uniform-collection,uniform,400,0,0.086158415694092,0,181.136945,73983,30.17646
2,10,20,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
3,10,30,no-visualization,uniform-collection,uniform,400,0,0.086158415694092,0,181.136945,73983,30.17646
4,10,40,no-visualization,uniform-collection,uniform,400,0,0.086158415694092,0,181.136945,73983,30.17646
5,10,50,no-visualization,uniform-collection,uniform,400,0,0.086158415694092,0,181.136945,73983,30.17646
6,10,60,no-visualization,uniform-collection,uniform,400,0,0.086158415694092,0,181.136945,73983,30.17646
7,10,70,no-visualization,uniform-collection,uniform,400,0,0.086158415694092,0,181.136945,73983,30.17646
8,10,80,no-visualization,uniform-collection,uniform,400,0,0.086158415694092,0,181.136945,73983,30.17646
9,10,90,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
10,10,100,no-visualization,uniform-collection,uniform,400,0,0.086158415694092,0,181.136945,73983,30.17646
11,10,110,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
12,10,120,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
13,10,130,no-visualization,uniform-collection,uniform,400,0,0.086158415694092,0,181.136945,73983,30.17646
14,10,140,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
15,10,150,no-visualization,uniform-collection,uniform,400,0,0.086158415694092,0,181.136945,73983,30.17646
16,10,160,no-visualization,uniform-collection,uniform,400,0,0.086158415694092,0,181.136945,73983,30.17646
17,10,170,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
18,10,180,no-visualization,uniform-collection,uniform,400,0,0.086158415694092,0,181.136945,73983,30.17646
19,10,190,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
20,10,200,no-visualization,uniform-collection,uniform,400,0,0.086158415694092,0,181.136945,73983,30.17646
21,20,10,no-visualization,uniform-collection,uniform,400,1500,0.314403504753827,4568,24.39556,9874,1.010665
22,20,20,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
23,20,30,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
24,20,40,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
25,20,50,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
26,20,60,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
27,20,70,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
28,20,80,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
29,20,90,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
30,20,100,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
31,20,110,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
32,20,120,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
33,20,130,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
34,20,140,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
35,20,150,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
36,20,160,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
37,20,170,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
38,20,180,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
39,20,190,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
40,20,200,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
41,30,10,no-visualization,uniform-collection,uniform,400,1500,0.287666227850547,3218,26.469305,10972,0.860075
42,30,20,no-visualization,uniform-collection,uniform,400,1500,0.267114112275182,2473,27.83568,11713,0.765395000000001
43,30,30,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
44,30,40,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
45,30,50,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
46,30,60,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
47,30,70,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
48,30,80,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
49,30,90,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
50,30,100,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
51,30,110,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
52,30,120,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
53,30,130,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
54,30,140,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
55,30,150,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
56,30,160,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
57,30,170,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
58,30,180,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
59,30,190,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
60,30,200,no-visualization,uniform-collection,uniform,400,0,0.314403504753827,4568,24.39556,9874,1.010665
61,40,10,no-visualization,uniform-collection,uniform,400,1500,0.267833707394803,2549,28.42375,11278,0.783395
62,40,20,no-visualization,uniform-collection,uniform,400,1500,0.244964475747425,2049,32.0344,12024,0.861855
63,40,30,no-visualization,uniform-collection,uniform,400,1500,0.224609900761882,1666,35.559735,13743,0.967630000000001
64,40,40,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
65,40,50,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
66,40,60,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
67,40,70,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
68,40,80,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
69,40,90,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
70,40,100,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
71,40,110,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
72,40,120,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
73,40,130,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
74,40,140,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
75,40,150,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
76,40,160,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
77,40,170,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
78,40,180,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
79,40,190,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
80,40,200,no-visualization,uniform-collection,uniform,400,0,0.244964475747425,2049,32.0344,12024,0.861855
81,50,10,no-visualization,uniform-collection,uniform,400,1500,0.255687309501782,2031,32.271985,12565,0.939055
82,50,20,no-visualization,uniform-collection,uniform,400,1500,0.238955434942391,1754,34.28157,14165,0.965415
83,50,30,no-visualization,uniform-collection,uniform,400,1500,0.220237857010096,1291,38.909775,14990,1.09424
84,50,40,no-visualization,uniform-collection,uniform,400,1500,0.209861055190962,849,42.549255,17565,1.0375
85,50,50,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
86,50,60,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
87,50,70,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
88,50,80,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
89,50,90,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
90,50,100,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
91,50,110,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
92,50,120,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
93,50,130,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
94,50,140,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
95,50,150,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
96,50,160,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
97,50,170,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
98,50,180,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
99,50,190,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
100,50,200,no-visualization,uniform-collection,uniform,400,0,0.220237857010096,1291,38.909775,14990,1.09424
101,60,10,no-visualization,uniform-collection,uniform,400,1500,0.252269362167505,1693,35.196805,13841,1.06944
102,60,20,no-visualization,uniform-collection,uniform,400,1500,0.231172361911728,1255,39.54384,15506,1.144375
103,60,30,no-visualization,uniform-collection,uniform,400,1500,0.218882635745324,875,42.059695,17727,1.08133
104,60,40,no-visualization,uniform-collection,uniform,400,1500,0.183281708399363,671,48.144995,19063,0.79496
105,60,50,no-visualization,uniform-collection,uniform,400,1500,0.169402342799109,601,51.716335,19978,0.821915000000001
106,60,60,no-visualization,uniform-collection,uniform,400,0,0.183281708399363,671,48.144995,19063,0.79496
107,60,70,no-visualization,uniform-collection,uniform,400,0,0.183281708399363,671,48.144995,19063,0.79496
108,60,80,no-visualization,uniform-collection,uniform,400,0,0.183281708399363,671,48.144995,19063,0.79496
109,60,90,no-visualization,uniform-collection,uniform,400,0,0.183281708399363,671,48.144995,19063,0.79496
110,60,100,no-visualization,uniform-collection,uniform,400,0,0.183281708399363,671,48.144995,19063,0.79496
111,60,110,no-visualization,uniform-collection,uniform,400,0,0.183281708399363,671,48.144995,19063,0.79496
112,60,120,no-visualization,uniform-collection,uniform,400,0,0.183281708399363,671,48.144995,19063,0.79496
113,60,130,no-visualization,uniform-collection,uniform,400,0,0.183281708399363,671,48.144995,19063,0.79496
114,60,140,no-visualization,uniform-collection,uniform,400,0,0.183281708399363,671,48.144995,19063,0.79496
115,60,150,no-visualization,uniform-collection,uniform,400,0,0.183281708399363,671,48.144995,19063,0.79496
116,60,160,no-visualization,uniform-collection,uniform,400,0,0.183281708399363,671,48.144995,19063,0.79496
117,60,170,no-visualization,uniform-collection,uniform,400,0,0.183281708399363,671,48.144995,19063,0.79496
118,60,180,no-visualization,uniform-collection,uniform,400,0,0.183281708399363,671,48.144995,19063,0.79496
119,60,190,no-visualization,uniform-collection,uniform,400,0,0.183281708399363,671,48.144995,19063,0.79496
120,60,200,no-visualization,uniform-collection,uniform,400,0,0.183281708399363,671,48.144995,19063,0.79496
121,70,10,no-visualization,uniform-collection,uniform,400,1500,0.245070973006978,1275,39.863715,15024,1.245835
122,70,20,no-visualization,uniform-collection,uniform,400,1500,0.224747287376993,823,43.46373,17514,1.097445
123,70,30,no-visualization,uniform-collection,uniform,400,1500,0.196156082444624,696,47.05912,18016,0.918599999999999
124,70,40,no-visualization,uniform-collection,uniform,400,1500,0.175999659439311,647,51.383635,20916,0.856784999999999
125,70,50,no-visualization,uniform-collection,uniform,400,1500,0.168182603481028,574,55.65626,22841,1.012415
126,70,60,no-visualization,uniform-collection,uniform,400,1500,0.161986814353294,334,60.75674,23419,1.103765
127,70,70,no-visualization,uniform-collection,uniform,400,0,0.168182603481028,574,55.65626,22841,1.012415
128,70,80,no-visualization,uniform-collection,uniform,400,0,0.168182603481028,574,55.65626,22841,1.012415
129,70,90,no-visualization,uniform-collection,uniform,400,0,0.168182603481028,574,55.65626,22841,1.012415
130,70,100,no-visualization,uniform-collection,uniform,400,0,0.168182603481028,574,55.65626,22841,1.012415
131,70,110,no-visualization,uniform-collection,uniform,400,0,0.168182603481028,574,55.65626,22841,1.012415
132,70,120,no-visualization,uniform-collection,uniform,400,0,0.168182603481028,574,55.65626,22841,1.012415
133,70,130,no-visualization,uniform-collection,uniform,400,0,0.168182603481028,574,55.65626,22841,1.012415
134,70,140,no-visualization,uniform-collection,uniform,400,0,0.168182603481028,574,55.65626,22841,1.012415
135,70,150,no-visualization,uniform-collection,uniform,400,0,0.168182603481028,574,55.65626,22841,1.012415
136,70,160,no-visualization,uniform-collection,uniform,400,0,0.168182603481028,574,55.65626,22841,1.012415
137,70,170,no-visualization,uniform-collection,uniform,400,0,0.168182603481028,574,55.65626,22841,1.012415
138,70,180,no-visualization,uniform-collection,uniform,400,0,0.168182603481028,574,55.65626,22841,1.012415
139,70,190,no-visualization,uniform-collection,uniform,400,0,0.168182603481028,574,55.65626,22841,1.012415
140,70,200,no-visualization,uniform-collection,uniform,400,0,0.168182603481028,574,55.65626,22841,1.012415
141,80,10,no-visualization,uniform-collection,uniform,400,1500,0.241304568899167,908,42.83724,17270,1.209705
142,80,20,no-visualization,uniform-collection,uniform,400,1500,0.201843410025196,706,49.1013,20663,0.933245
143,80,30,no-visualization,uniform-collection,uniform,400,1500,0.19085274300954,635,51.19284,20480,0.933729999999999
144,80,40,no-visualization,uniform-collection,uniform,400,1500,0.178627953868701,549,55.000065,21084,1.033105
145,80,50,no-visualization,uniform-collection,uniform,400,1500,0.168119543159681,414,60.24381,23031,1.155485
146,80,60,no-visualization,uniform-collection,uniform,400,1500,0.151448941863072,156,64.166205,25349,0.99839
147,80,70,no-visualization,uniform-collection,uniform,400,1500,0.140325648753039,146,68.36281,26770,0.827705
148,80,80,no-visualization,uniform-collection,uniform,400,0,0.151448941863072,156,64.166205,25349,0.99839
149,80,90,no-visualization,uniform-collection,uniform,400,0,0.151448941863072,156,64.166205,25349,0.99839
150,80,100,no-visualization,uniform-collection,uniform,400,0,0.151448941863072,156,64.166205,25349,0.99839
151,80,110,no-visualization,uniform-collection,uniform,400,0,0.151448941863072,156,64.166205,25349,0.99839
152,80,120,no-visualization,uniform-collection,uniform,400,0,0.151448941863072,156,64.166205,25349,0.99839
153,80,130,no-visualization,uniform-collection,uniform,400,0,0.151448941863072,156,64.166205,25349,0.99839
154,80,140,no-visualization,uniform-collection,uniform,400,0,0.151448941863072,156,64.166205,25349,0.99839
155,80,150,no-visualization,uniform-collection,uniform,400,0,0.151448941863072,156,64.166205,25349,0.99839
156,80,160,no-visualization,uniform-collection,uniform,400,0,0.151448941863072,156,64.166205,25349,0.99839
157,80,170,no-visualization,uniform-collection,uniform,400,0,0.151448941863072,156,64.166205,25349,0.99839
158,80,180,no-visualization,uniform-collection,uniform,400,0,0.151448941863072,156,64.166205,25349,0.99839
159,80,190,no-visualization,uniform-collection,uniform,400,0,0.151448941863072,156,64.166205,25349,0.99839
160,80,200,no-visualization,uniform-collection,uniform,400,0,0.151448941863072,156,64.166205,25349,0.99839
161,90,10,no-visualization,uniform-collection,uniform,400,1500,0.223502653312014,719,48.16851,19331,1.07848
162,90,20,no-visualization,uniform-collection,uniform,400,1500,0.201793751374514,596,51.4156,20664,1.01946
163,90,30,no-visualization,uniform-collection,uniform,400,1500,0.186049770774556,536,55.91153,22539,1.13714
164,90,40,no-visualization,uniform-collection,uniform,400,1500,0.180167685963186,380,59.41557,24314,1.22589
165,90,50,no-visualization,uniform-collection,uniform,400,1500,0.15462015868438,178,65.46805,26290,0.96282
166,90,60,no-visualization,uniform-collection,uniform,400,1500,0.141024699121316,151,68.68475,27636,0.812165
167,90,70,no-visualization,uniform-collection,uniform,400,1500,0.133641374177782,111,72.520585,30297,0.89865
168,90,80,no-visualization,uniform-collection,uniform,400,1500,0.129182295360646,68,78.9848399999999,31578,1.109655
169,90,90,no-visualization,uniform-collection,uniform,400,0,0.133641374177782,111,72.520585,30297,0.89865
170,90,100,no-visualization,uniform-collection,uniform,400,0,0.133641374177782,111,72.520585,30297,0.89865
171,90,110,no-visualization,uniform-collection,uniform,400,0,0.133641374177782,111,72.520585,30297,0.89865
172,90,120,no-visualization,uniform-collection,uniform,400,0,0.133641374177782,111,72.520585,30297,0.89865
173,90,130,no-visualization,uniform-collection,uniform,400,0,0.133641374177782,111,72.520585,30297,0.89865
174,90,140,no-visualization,uniform-collection,uniform,400,0,0.133641374177782,111,72.520585,30297,0.89865
175,90,150,no-visualization,uniform-collection,uniform,400,0,0.133641374177782,111,72.520585,30297,0.89865
176,90,160,no-visualization,uniform-collection,uniform,400,0,0.133641374177782,111,72.520585,30297,0.89865
177,90,170,no-visualization,uniform-collection,uniform,400,0,0.133641374177782,111,72.520585,30297,0.89865
178,90,180,no-visualization,uniform-collection,uniform,400,0,0.133641374177782,111,72.520585,30297,0.89865
179,90,190,no-visualization,uniform-collection,uniform,400,0,0.133641374177782,111,72.520585,30297,0.89865
180,90,200,no-visualization,uniform-collection,uniform,400,0,0.133641374177782,111,72.520585,30297,0.89865
181,100,10,no-visualization,uniform-collection,uniform,400,1500,0.220944923243956,603,51.0952,21047,1.133265
182,100,20,no-visualization,uniform-collection,uniform,400,1500,0.20328224238296,549,55.43412,22490,1.22557
183,100,30,no-visualization,uniform-collection,uniform,400,1500,0.186698268411447,354,59.856795,24089,1.285395
184,100,40,no-visualization,uniform-collection,uniform,400,1500,0.171525861194696,198,63.90926,25990,1.141985
185,100,50,no-visualization,uniform-collection,uniform,400,1500,0.147333818258622,134,69.61251,28053,0.907044999999999
186,100,60,no-visualization,uniform-collection,uniform,400,1500,0.141159742219249,117,73.027985,29466,0.95915
187,100,70,no-visualization,uniform-collection,uniform,400,1500,0.13375313628836,54,78.0603100000001,30178,1.123845
188,100,80,no-visualization,uniform-collection,uniform,400,1500,0.124383797011208,1,83.16139,32469,1.057005
189,100,90,no-visualization,uniform-collection,uniform,400,1500,0.112423602408805,0,87.7534750000001,34922,0.845535000000001
190,100,100,no-visualization,uniform-collection,uniform,400,0,0.124383797011208,1,83.16139,32469,1.057005
191,100,110,no-visualization,uniform-collection,uniform,400,0,0.124383797011208,1,83.16139,32469,1.057005
192,100,120,no-visualization,uniform-collection,uniform,400,0,0.124383797011208,1,83.16139,32469,1.057005
193,100,130,no-visualization,uniform-collection,uniform,400,0,0.124383797011208,1,83.16139,32469,1.057005
194,100,140,no-visualization,uniform-collection,uniform,400,0,0.124383797011208,1,83.16139,32469,1.057005
195,100,150,no-visualization,uniform-collection,uniform,400,0,0.124383797011208,1,83.16139,32469,1.057005
196,100,160,no-visualization,uniform-collection,uniform,400,0,0.124383797011208,1,83.16139,32469,1.057005
197,100,170,no-visualization,uniform-collection,uniform,400,0,0.124383797011208,1,83.16139,32469,1.057005
198,100,180,no-visualization,uniform-collection,uniform,400,0,0.124383797011208,1,83.16139,32469,1.057005
199,100,190,no-visualization,uniform-collection,uniform,400,0,0.124383797011208,1,83.16139,32469,1.057005
200,100,200,no-visualization,uniform-collection,uniform,400,0,0.124383797011208,1,83.16139,32469,1.057005
