[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
1,0,0,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.202422063941118,0,190.077225,77451
2,0,10,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
3,0,20,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
4,0,30,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
5,0,40,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
6,0,50,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
7,0,60,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
8,0,70,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
9,0,80,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
10,0,90,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
11,0,100,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
12,0,110,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
13,0,120,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.202422063941118,0,190.077225,77451
14,0,130,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
15,0,140,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
16,0,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
17,0,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
18,0,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.202422063941118,0,190.077225,77451
19,0,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.202422063941118,0,190.077225,77451
20,0,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.202422063941118,0,190.077225,77451
21,0,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.202422063941118,0,190.077225,77451
22,10,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.111697828886674,681,17.453475,7202
23,10,10,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
24,10,20,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
25,10,30,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
26,10,40,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
27,10,50,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
28,10,60,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
29,10,70,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
30,10,80,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
31,10,90,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
32,10,100,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
33,10,110,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
34,10,120,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
35,10,130,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
36,10,140,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
37,10,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
38,10,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
39,10,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
40,10,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
41,10,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
42,10,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0
43,20,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0968287833441804,560,19.827925,8639
44,20,10,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0822090876016597,0,24.1539,9615
45,20,20,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0968287833441804,560,19.827925,8639
46,20,30,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0968287833441804,560,19.827925,8639
47,20,40,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0968287833441804,560,19.827925,8639
48,20,50,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0968287833441804,560,19.827925,8639
49,20,60,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0968287833441804,560,19.827925,8639
50,20,70,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0968287833441804,560,19.827925,8639
51,20,80,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0968287833441804,560,19.827925,8639
52,20,90,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0968287833441804,560,19.827925,8639
