[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
1,0,0,color-agents-by-decile,linear-collection,poorest,400,0,0.0817665124432871,0,203.4547,81915
2,0,10,color-agents-by-decile,linear-collection,poorest,400,0,0,0,0,0
3,0,20,color-agents-by-decile,linear-collection,poorest,400,0,0,0,0,0
4,0,30,color-agents-by-decile,linear-collection,poorest,400,0,0,0,0,0
5,0,40,color-agents-by-decile,linear-collection,poorest,400,0,0,0,0,0
6,0,50,color-agents-by-decile,linear-collection,poorest,400,0,0,0,0,0
7,0,60,color-agents-by-decile,linear-collection,poorest,400,0,0.0817665124432871,0,203.4547,81915
8,0,70,color-agents-by-decile,linear-collection,poorest,400,0,0.0817665124432871,0,203.4547,81915
9,0,80,color-agents-by-decile,linear-collection,poorest,400,0,0.0817665124432871,0,203.4547,81915
10,0,90,color-agents-by-decile,linear-collection,poorest,400,0,0.0817665124432871,0,203.4547,81915
11,0,100,color-agents-by-decile,linear-collection,poorest,400,0,0.0817665124432871,0,203.4547,81915
12,0,110,color-agents-by-decile,linear-collection,poorest,400,0,0.0817665124432871,0,203.4547,81915
13,0,120,color-agents-by-decile,linear-collection,poorest,400,0,0.0817665124432871,0,203.4547,81915
14,0,130,color-agents-by-decile,linear-collection,poorest,400,0,0.0817665124432871,0,203.4547,81915
15,0,140,color-agents-by-decile,linear-collection,poorest,400,0,0.0817665124432871,0,203.4547,81915
16,0,150,color-agents-by-decile,linear-collection,poorest,400,0,0.0817665124432871,0,203.4547,81915
17,0,160,color-agents-by-decile,linear-collection,poorest,400,0,0,0,0,0
18,0,170,color-agents-by-decile,linear-collection,poorest,400,0,0,0,0,0
19,0,180,color-agents-by-decile,linear-collection,poorest,400,0,0.0817665124432871,0,203.4547,81915
20,0,190,color-agents-by-decile,linear-collection,poorest,400,0,0,0,0,0
21,0,200,color-agents-by-decile,linear-collection,poorest,400,0,0.0817665124432871,0,203.4547,81915
22,10,0,color-agents-by-decile,linear-collection,poorest,400,1000,0.151925170608795,1184,7.36365,3275
23,10,10,color-agents-by-decile,linear-collection,poorest,400,0,0,0,0,0
24,10,20,color-agents-by-decile,linear-collection,poorest,400,0,0,0,0,0
25,10,30,color-agents-by-decile,linear-collection,poorest,400,0,0,0,0,0
