[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,linear-collection,uniform,400,0,0.021385298166944,0,185.681895,73922,11.68992
2,10,20,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
3,10,30,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
4,10,40,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
5,10,50,no-visualization,linear-collection,uniform,400,0,0.021385298166944,0,185.681895,73922,11.68992
6,10,60,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
7,10,70,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
8,10,80,no-visualization,linear-collection,uniform,400,0,0.021385298166944,0,185.681895,73922,11.68992
9,10,90,no-visualization,linear-collection,uniform,400,0,0.021385298166944,0,185.681895,73922,11.68992
10,10,100,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
11,10,110,no-visualization,linear-collection,uniform,400,0,0.021385298166944,0,185.681895,73922,11.68992
12,10,120,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
13,10,130,no-visualization,linear-collection,uniform,400,0,0.021385298166944,0,185.681895,73922,11.68992
14,10,140,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
15,10,150,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
16,10,160,no-visualization,linear-collection,uniform,400,0,0.021385298166944,0,185.681895,73922,11.68992
17,10,170,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
18,10,180,no-visualization,linear-collection,uniform,400,0,0.021385298166944,0,185.681895,73922,11.68992
19,10,190,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
20,10,200,no-visualization,linear-collection,uniform,400,0,0.021385298166944,0,185.681895,73922,11.68992
21,20,10,no-visualization,linear-collection,uniform,400,1500,0.117033296559683,2346,18.555475,7548,0.60729
22,20,20,no-visualization,linear-collection,uniform,400,0,0.021385298166944,0,185.681895,73922,11.68992
23,20,30,no-visualization,linear-collection,uniform,400,0,0.021385298166944,0,185.681895,73922,11.68992
24,20,40,no-visualization,linear-collection,uniform,400,0,0.021385298166944,0,185.681895,73922,11.68992
