[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
2,10,20,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
3,10,30,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
4,10,40,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
5,10,50,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
6,10,60,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
7,10,70,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
8,10,80,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
9,10,90,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
10,10,100,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
11,10,110,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
12,10,120,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
13,10,130,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
14,10,140,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
15,10,150,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
16,10,160,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
17,10,170,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
18,10,180,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
19,10,190,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
20,10,200,no-visualization,no-collection,no-redistribution,400,0,0.243323121261117,0,88.3473049999999,36293,5.08238
21,20,10,no-visualization,no-collection,no-redistribution,400,1500,0.453613424253459,8895,31.40662,11960,1.79744
22,20,20,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
23,20,30,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
24,20,40,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
25,20,50,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
26,20,60,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
27,20,70,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
28,20,80,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
29,20,90,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
30,20,100,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
31,20,110,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
32,20,120,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
33,20,130,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
34,20,140,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
35,20,150,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
36,20,160,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
37,20,170,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
38,20,180,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
39,20,190,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
40,20,200,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
41,30,10,no-visualization,no-collection,no-redistribution,400,1500,0.427660151016191,7887,33.93457,12922,1.823345
42,30,20,no-visualization,no-collection,no-redistribution,400,1500,0.398118661488818,6876,37.203615,14076,1.8373
43,30,30,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
44,30,40,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
45,30,50,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
46,30,60,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
47,30,70,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
48,30,80,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
49,30,90,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
50,30,100,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
51,30,110,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
52,30,120,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
53,30,130,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
54,30,140,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
55,30,150,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
56,30,160,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
57,30,170,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
58,30,180,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
59,30,190,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
60,30,200,no-visualization,no-collection,no-redistribution,400,0,0.453613424253459,8895,31.40662,11960,1.79744
61,40,10,no-visualization,no-collection,no-redistribution,400,1500,0.405143498644043,6880,38.29063,14556,1.89274
62,40,20,no-visualization,no-collection,no-redistribution,400,1500,0.377559257693924,6223,40.316675,16450,1.865025
63,40,30,no-visualization,no-collection,no-redistribution,400,1500,0.351940267042576,5710,44.874935,18543,1.923295
64,40,40,no-visualization,no-collection,no-redistribution,400,0,0.377559257693924,6223,40.316675,16450,1.865025
65,40,50,no-visualization,no-collection,no-redistribution,400,0,0.377559257693924,6223,40.316675,16450,1.865025
66,40,60,no-visualization,no-collection,no-redistribution,400,0,0.377559257693924,6223,40.316675,16450,1.865025
67,40,70,no-visualization,no-collection,no-redistribution,400,0,0.377559257693924,6223,40.316675,16450,1.865025
68,40,80,no-visualization,no-collection,no-redistribution,400,0,0.377559257693924,6223,40.316675,16450,1.865025
69,40,90,no-visualization,no-collection,no-redistribution,400,0,0.377559257693924,6223,40.316675,16450,1.865025
70,40,100,no-visualization,no-collection,no-redistribution,400,0,0.377559257693924,6223,40.316675,16450,1.865025
71,40,110,no-visualization,no-collection,no-redistribution,400,0,0.377559257693924,6223,40.316675,16450,1.865025
72,40,120,no-visualization,no-collection,no-redistribution,400,0,0.377559257693924,6223,40.316675,16450,1.865025
73,40,130,no-visualization,no-collection,no-redistribution,400,0,0.377559257693924,6223,40.316675,16450,1.865025
74,40,140,no-visualization,no-collection,no-redistribution,400,0,0.377559257693924,6223,40.316675,16450,1.865025
75,40,150,no-visualization,no-collection,no-redistribution,400,0,0.377559257693924,6223,40.316675,16450,1.865025
76,40,160,no-visualization,no-collection,no-redistribution,400,0,0.377559257693924,6223,40.316675,16450,1.865025
77,40,170,no-visualization,no-collection,no-redistribution,400,0,0.377559257693924,6223,40.316675,16450,1.865025
