[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
2,10,20,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
3,10,30,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
4,10,40,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
5,10,50,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
6,10,60,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
7,10,70,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
8,10,80,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
9,10,90,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
10,10,100,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
11,10,110,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
12,10,120,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
13,10,130,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
14,10,140,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
15,10,150,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
16,10,160,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
17,10,170,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
18,10,180,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
19,10,190,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
20,10,200,no-visualization,uniform-collection,linear,400,0,0.00457510815897877,0,186.61712,73816,1.983455
21,20,10,no-visualization,uniform-collection,linear,400,1500,0.323572108068491,1611,15.692205,6000,0.474605
22,20,20,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
23,20,30,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
24,20,40,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
25,20,50,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
26,20,60,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
27,20,70,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
28,20,80,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
29,20,90,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
30,20,100,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
31,20,110,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
32,20,120,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
33,20,130,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
34,20,140,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
35,20,150,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
36,20,160,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
37,20,170,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
38,20,180,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
39,20,190,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
40,20,200,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
41,30,10,no-visualization,uniform-collection,linear,400,1500,0.270462347149139,794,18.105065,7063,0.47922
42,30,20,no-visualization,uniform-collection,linear,400,1500,0.171480355570373,742,21.1856,7644,0.49067
43,30,30,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
44,30,40,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
45,30,50,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
46,30,60,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
47,30,70,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
48,30,80,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
49,30,90,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
50,30,100,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
51,30,110,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
52,30,120,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
53,30,130,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
54,30,140,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
55,30,150,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
56,30,160,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
57,30,170,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
58,30,180,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
59,30,190,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
60,30,200,no-visualization,uniform-collection,linear,400,0,0.323572108068491,1611,15.692205,6000,0.474605
61,40,10,no-visualization,uniform-collection,linear,400,1500,0.181957531539087,784,22.51673,8161,0.55991
62,40,20,no-visualization,uniform-collection,linear,400,1500,0.147789988347165,376,24.474795,9490,0.73433
63,40,30,no-visualization,uniform-collection,linear,400,1500,0.127089198380753,64,26.998405,10893,0.734725000000001
64,40,40,no-visualization,uniform-collection,linear,400,0,0.147789988347165,376,24.474795,9490,0.73433
65,40,50,no-visualization,uniform-collection,linear,400,0,0.147789988347165,376,24.474795,9490,0.73433
66,40,60,no-visualization,uniform-collection,linear,400,0,0.147789988347165,376,24.474795,9490,0.73433
67,40,70,no-visualization,uniform-collection,linear,400,0,0.147789988347165,376,24.474795,9490,0.73433
68,40,80,no-visualization,uniform-collection,linear,400,0,0.147789988347165,376,24.474795,9490,0.73433
69,40,90,no-visualization,uniform-collection,linear,400,0,0.147789988347165,376,24.474795,9490,0.73433
70,40,100,no-visualization,uniform-collection,linear,400,0,0.147789988347165,376,24.474795,9490,0.73433
71,40,110,no-visualization,uniform-collection,linear,400,0,0.147789988347165,376,24.474795,9490,0.73433
72,40,120,no-visualization,uniform-collection,linear,400,0,0.147789988347165,376,24.474795,9490,0.73433
73,40,130,no-visualization,uniform-collection,linear,400,0,0.147789988347165,376,24.474795,9490,0.73433
74,40,140,no-visualization,uniform-collection,linear,400,0,0.147789988347165,376,24.474795,9490,0.73433
75,40,150,no-visualization,uniform-collection,linear,400,0,0.147789988347165,376,24.474795,9490,0.73433
76,40,160,no-visualization,uniform-collection,linear,400,0,0.147789988347165,376,24.474795,9490,0.73433
77,40,170,no-visualization,uniform-collection,linear,400,0,0.147789988347165,376,24.474795,9490,0.73433
78,40,180,no-visualization,uniform-collection,linear,400,0,0.147789988347165,376,24.474795,9490,0.73433
