[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
1,0,0,color-agents-by-decile,UBI,400,0,0.455234823931659,2381,30.869675,11257
2,0,10,color-agents-by-decile,UBI,400,0,0,0,0,0
3,0,20,color-agents-by-decile,UBI,400,0,0,0,0,0
4,0,30,color-agents-by-decile,UBI,400,0,0,0,0,0
5,0,40,color-agents-by-decile,UBI,400,0,0,0,0,0
6,0,50,color-agents-by-decile,UBI,400,0,0,0,0,0
7,0,60,color-agents-by-decile,UBI,400,0,0,0,0,0
8,0,70,color-agents-by-decile,UBI,400,0,0,0,0,0
9,0,80,color-agents-by-decile,UBI,400,0,0,0,0,0
10,0,90,color-agents-by-decile,UBI,400,0,0,0,0,0
11,0,100,color-agents-by-decile,UBI,400,0,0,0,0,0
12,0,110,color-agents-by-decile,UBI,400,0,0,0,0,0
13,0,120,color-agents-by-decile,UBI,400,0,0,0,0,0
14,0,130,color-agents-by-decile,UBI,400,0,0,0,0,0
15,0,140,color-agents-by-decile,UBI,400,0,0,0,0,0
16,0,150,color-agents-by-decile,UBI,400,0,0,0,0,0
17,0,160,color-agents-by-decile,UBI,400,0,0,0,0,0
18,0,170,color-agents-by-decile,UBI,400,0,0,0,0,0
19,0,180,color-agents-by-decile,UBI,400,0,0,0,0,0
20,0,190,color-agents-by-decile,UBI,400,0,0,0,0,0
21,0,200,color-agents-by-decile,UBI,400,0,0,0,0,0
22,10,0,color-agents-by-decile,UBI,400,1000,0.174899407164696,4762,10.00485,4058
23,10,10,color-agents-by-decile,UBI,400,0,0.455234823931659,2381,30.869675,11257
24,10,20,color-agents-by-decile,UBI,400,0,0.455234823931659,2381,30.869675,11257
25,10,30,color-agents-by-decile,UBI,400,0,0.455234823931659,2381,30.869675,11257
26,10,40,color-agents-by-decile,UBI,400,0,0.455234823931659,2381,30.869675,11257
27,10,50,color-agents-by-decile,UBI,400,0,0.455234823931659,2381,30.869675,11257
28,10,60,color-agents-by-decile,UBI,400,0,0.455234823931659,2381,30.869675,11257
29,10,70,color-agents-by-decile,UBI,400,0,0.455234823931659,2381,30.869675,11257
30,10,80,color-agents-by-decile,UBI,400,0,0.455234823931659,2381,30.869675,11257
31,10,90,color-agents-by-decile,UBI,400,0,0.455234823931659,2381,30.869675,11257
32,10,100,color-agents-by-decile,UBI,400,0,0.455234823931659,2381,30.869675,11257
33,10,110,color-agents-by-decile,UBI,400,0,0.455234823931659,2381,30.869675,11257
