[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,no-collection,no-redistribution,400,1500,0.483009224813316,10702,28.07446,11016,1.840825
2,10,20,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
3,10,30,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
4,10,40,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
5,10,50,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
6,10,60,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
7,10,70,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
8,10,80,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
9,10,90,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
10,10,100,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
11,10,110,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
12,10,120,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
13,10,130,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
14,10,140,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
15,10,150,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
16,10,160,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
17,10,170,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
18,10,180,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
19,10,190,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
20,10,200,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
21,20,10,no-visualization,no-collection,no-redistribution,400,1500,0.449982733915862,9293,30.527735,11964,1.850395
22,20,20,no-visualization,no-collection,no-redistribution,400,1500,0.416770683107855,17183,33.34035,13378,1.872245
23,20,30,no-visualization,no-collection,no-redistribution,400,1500,0.390011182870125,17577,37.30567,14810,1.933585
24,20,40,no-visualization,no-collection,no-redistribution,400,1500,0.369466476898436,23060,40.25693,16439,1.88793
25,20,50,no-visualization,no-collection,no-redistribution,400,1500,0.350927039134517,22933,44.901815,18903,1.94891
26,20,60,no-visualization,no-collection,no-redistribution,400,1500,0.345648936327629,27908,47.682175,18042,1.990195
27,20,70,no-visualization,no-collection,no-redistribution,400,1500,0.333552321751523,27308,52.678195,20416,2.027605
28,20,80,no-visualization,no-collection,no-redistribution,400,1500,0.329278528386735,31936,57.10503,23077,2.087635
29,20,90,no-visualization,no-collection,no-redistribution,400,1500,0.328868464477853,30963,60.5578949999999,25543,2.13733
30,20,100,no-visualization,no-collection,no-redistribution,400,1500,0.322900684956368,35193,65.3520199999999,25596,2.17788
31,20,110,no-visualization,no-collection,no-redistribution,400,1500,0.314926380335026,33921,69.1090800000001,25573,2.20102
32,20,120,no-visualization,no-collection,no-redistribution,400,1500,0.311122303250563,37922,73.8158700000001,29819,2.25992
33,20,130,no-visualization,no-collection,no-redistribution,400,1500,0.312639801306945,36389,78.51394,32181,2.33344
34,20,140,no-visualization,no-collection,no-redistribution,400,1500,0.304780303669718,40188,82.20252,31934,2.306285
35,20,150,no-visualization,no-collection,no-redistribution,400,1500,0.304515934400073,38526,88.394315,34267,2.401045
36,20,160,no-visualization,no-collection,no-redistribution,400,1500,0.307444104740817,42197,93.94381,36193,2.45161
37,20,170,no-visualization,no-collection,no-redistribution,400,1500,0.304348211674552,40397,96.4454200000001,37639,2.440945
38,20,180,no-visualization,no-collection,no-redistribution,400,1500,0.303338018277869,43896,102.85362,41868,2.55989
39,20,190,no-visualization,no-collection,no-redistribution,400,1500,0.303736651105717,42039,106.61601,43269,2.600095
40,20,200,no-visualization,no-collection,no-redistribution,400,1500,0.301909205131701,45497,111.955105,46747,2.66964
41,30,10,no-visualization,no-collection,no-redistribution,400,1500,0.422655384126404,8027,34.370805,13793,1.89966
42,30,20,no-visualization,no-collection,no-redistribution,400,1500,0.396875593155966,6806,36.010655,14313,1.867835
43,30,30,no-visualization,no-collection,no-redistribution,400,1500,0.366213549619949,14138,39.6441950000001,15822,1.88622
44,30,40,no-visualization,no-collection,no-redistribution,400,1500,0.34598024309333,11992,44.059555,16455,1.94887
45,30,50,no-visualization,no-collection,no-redistribution,400,1500,0.335473614785214,18929,47.48491,20098,1.958945
46,30,60,no-visualization,no-collection,no-redistribution,400,1500,0.326529804956698,16379,51.287575,20067,2.002005
47,30,70,no-visualization,no-collection,no-redistribution,400,1500,0.316977395179938,22793,56.3490699999999,21459,2.057
48,30,80,no-visualization,no-collection,no-redistribution,400,1500,0.306559776440791,19847,59.74392,24371,2.04094
49,30,90,no-visualization,no-collection,no-redistribution,400,1500,0.306433176046296,25985,64.44637,26914,2.113605
50,30,100,no-visualization,no-collection,no-redistribution,400,1500,0.29824755024025,22736,68.517425,28734,2.127445
51,30,110,no-visualization,no-collection,no-redistribution,400,1500,0.29616396348778,28572,73.91269,29563,2.2152
52,30,120,no-visualization,no-collection,no-redistribution,400,1500,0.291918143115281,25078,77.64964,29646,2.227235
53,30,130,no-visualization,no-collection,no-redistribution,400,1500,0.2922377609943,30782,82.4908399999999,32600,2.28599
54,30,140,no-visualization,no-collection,no-redistribution,400,1500,0.287144482748663,27023,87.5050950000001,36037,2.28961
55,30,150,no-visualization,no-collection,no-redistribution,400,1500,0.290182368039804,32618,91.579195,36515,2.38418
56,30,160,no-visualization,no-collection,no-redistribution,400,1500,0.286234691371272,28698,96.794035,38878,2.406565
57,30,170,no-visualization,no-collection,no-redistribution,400,1500,0.2841946374129,34168,100.663915,40209,2.44283
58,30,180,no-visualization,no-collection,no-redistribution,400,1500,0.288608579581161,30148,105.52724,43073,2.521525
59,30,190,no-visualization,no-collection,no-redistribution,400,1500,0.285816801344227,35589,110.8889,45318,2.596865
60,30,200,no-visualization,no-collection,no-redistribution,400,1500,0.288169630349988,31429,115.33021,46252,2.646775
61,40,10,no-visualization,no-collection,no-redistribution,400,1500,0.402002867290231,7120,36.59732,15064,1.892745
62,40,20,no-visualization,no-collection,no-redistribution,400,1500,0.379291687956871,6069,40.059365,15688,1.925095
63,40,30,no-visualization,no-collection,no-redistribution,400,1500,0.35052164880265,5284,43.602875,17267,1.89891
64,40,40,no-visualization,no-collection,no-redistribution,400,1500,0.338966723532409,11038,46.936435,18615,1.99475
65,40,50,no-visualization,no-collection,no-redistribution,400,1500,0.313484087190482,9614,51.17673,19764,1.98425
66,40,60,no-visualization,no-collection,no-redistribution,400,1500,0.304085612214422,15046,55.268495,21740,2.03253
67,40,70,no-visualization,no-collection,no-redistribution,400,1500,0.29943113809109,13067,58.930525,22743,2.03704
68,40,80,no-visualization,no-collection,no-redistribution,400,1500,0.292742897001044,18201,62.93332,25347,2.073635
69,40,90,no-visualization,no-collection,no-redistribution,400,1500,0.285941901471977,15947,68.0267200000001,28738,2.12486
70,40,100,no-visualization,no-collection,no-redistribution,400,1500,0.284361947556304,20651,72.296375,28436,2.143325
71,40,110,no-visualization,no-collection,no-redistribution,400,1500,0.280024733797639,18186,76.3833500000001,31451,2.198775
72,40,120,no-visualization,no-collection,no-redistribution,400,1500,0.272766116194074,22721,81.541145,32007,2.21445
73,40,130,no-visualization,no-collection,no-redistribution,400,1500,0.277293153885909,20048,85.87039,34834,2.267715
74,40,140,no-visualization,no-collection,no-redistribution,400,1500,0.270023739749931,24431,91.5505700000001,35879,2.29625
