[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth,avg-diff
1,0,0,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
2,0,10,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
3,0,20,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
4,0,30,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
5,0,40,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
6,0,50,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
7,0,60,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
8,0,70,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
9,0,80,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
10,0,90,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
11,0,100,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
12,0,110,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
13,0,120,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
14,0,130,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
15,0,140,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
16,0,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
17,0,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
18,0,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
19,0,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
20,0,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
21,0,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0,0,0,0,0
22,10,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.110893170547154,689,18.39585,7102,-1.045
23,10,10,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
24,10,20,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
25,10,30,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
26,10,40,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
27,10,50,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
28,10,60,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
29,10,70,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
30,10,80,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
31,10,90,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
32,10,100,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
33,10,110,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
34,10,120,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
35,10,130,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
36,10,140,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
37,10,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.19442344327273,6,10.8185,4101,-0.835
