[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth,avg-diff
1,0,0,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
2,0,10,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
3,0,20,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
4,0,30,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
5,0,40,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
6,0,50,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
7,0,60,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
8,0,70,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
9,0,80,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
10,0,90,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
11,0,100,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
12,0,110,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
13,0,120,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
14,0,130,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
15,0,140,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
16,0,150,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
17,0,160,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
18,0,170,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
19,0,180,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
20,0,190,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
21,0,200,color-agents-by-decile,dynamic-collection,UBI,400,0,0,0,0,0,0
22,10,0,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0698139468635743,152,21.097925,8642,0.405
23,10,10,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
24,10,20,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
25,10,30,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
26,10,40,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
27,10,50,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
28,10,60,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
29,10,70,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
30,10,80,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
31,10,90,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
32,10,100,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
33,10,110,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
34,10,120,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
35,10,130,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
36,10,140,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
37,10,150,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
38,10,160,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
39,10,170,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
40,10,180,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
41,10,190,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
42,10,200,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0413137754852328,0,202.028325,81055,-6.5
43,20,0,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0580857319454602,65,20.67705,8776,0.315
44,20,10,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0570964182627754,0,30.027575,12743,0.375
45,20,20,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
46,20,30,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
47,20,40,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
48,20,50,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
49,20,60,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
50,20,70,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
51,20,80,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
52,20,90,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
53,20,100,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
54,20,110,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
55,20,120,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
56,20,130,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
57,20,140,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
58,20,150,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
59,20,160,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
60,20,170,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
61,20,180,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
62,20,190,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
63,20,200,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0580857319454602,65,20.67705,8776,0.315
64,30,0,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0560661986422913,23,27.96935,11685,0.445
65,30,10,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0528089485609958,0,35.08725,12888,0.43
66,30,20,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0540999127691756,0,39.90795,15008,0.285
67,30,30,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
68,30,40,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
69,30,50,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
70,30,60,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
71,30,70,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
72,30,80,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
73,30,90,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
74,30,100,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
75,30,110,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
76,30,120,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
77,30,130,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
78,30,140,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
79,30,150,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
80,30,160,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
81,30,170,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
82,30,180,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
83,30,190,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
84,30,200,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0528089485609958,0,35.08725,12888,0.43
85,40,0,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.063706508464073,22,36.271775,14034,0.435
86,40,10,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0576132722035934,1,44.406225,17413,0.59
87,40,20,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0541696694099862,0,45.31995,17673,0.47
88,40,30,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0464886063833648,0,51.377625,20815,0.565
89,40,40,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
