[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,dynamic-collection,dynamic,400,1500,0.137516595855037,1277,9.22381999999999,3719,0.357935
2,10,20,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
3,10,30,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
4,10,40,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
5,10,50,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
6,10,60,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
7,10,70,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
8,10,80,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
9,10,90,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
10,10,100,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
11,10,110,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
12,10,120,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
13,10,130,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
14,10,140,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
15,10,150,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
16,10,160,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
17,10,170,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
18,10,180,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
19,10,190,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
20,10,200,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
21,20,10,no-visualization,dynamic-collection,dynamic,400,1500,0.0900944466940225,775,12.091325,4522,0.408995
22,20,20,no-visualization,dynamic-collection,dynamic,400,1500,0.0690524560203543,1332,15.07696,6616,0.490425
23,20,30,no-visualization,dynamic-collection,dynamic,400,1500,0.0585234990576907,1418,18.745445,7287,0.511905
24,20,40,no-visualization,dynamic-collection,dynamic,400,1500,0.0452521525475689,1361,22.74639,10274,0.601655
25,20,50,no-visualization,dynamic-collection,dynamic,400,1500,0.0282621399456116,1418,28.021955,10775,0.60946
26,20,60,no-visualization,dynamic-collection,dynamic,400,1500,0.0230444901001292,1361,34.752935,13467,0.77518
27,20,70,no-visualization,dynamic-collection,dynamic,400,1500,0.022728196458377,1418,37.78324,17223,0.928465
28,20,80,no-visualization,dynamic-collection,dynamic,400,1500,0.020557116027797,1361,43.052115,15965,1.118835
29,20,90,no-visualization,dynamic-collection,dynamic,400,1500,0.0202339521937026,1418,47.830785,18721,1.20684
30,20,100,no-visualization,dynamic-collection,dynamic,400,1500,0.0224709948872288,1361,52.241615,21083,1.596605
31,20,110,no-visualization,dynamic-collection,dynamic,400,1500,0.022326895485024,1418,59.485125,23278,1.81063
32,20,120,no-visualization,dynamic-collection,dynamic,400,1500,0.0236753125562829,1361,62.090645,24259,1.9773
33,20,130,no-visualization,dynamic-collection,dynamic,400,1500,0.0231334179647312,1418,68.26869,27759,2.28216
34,20,140,no-visualization,dynamic-collection,dynamic,400,1500,0.0242829866545583,1361,72.215505,28302,2.527155
35,20,150,no-visualization,dynamic-collection,dynamic,400,1500,0.0244303951297209,1418,77.55264,31386,2.67651
36,20,160,no-visualization,dynamic-collection,dynamic,400,1500,0.0253838980002089,1361,80.84166,33589,2.962445
37,20,170,no-visualization,dynamic-collection,dynamic,400,1500,0.0246721322091201,1418,86.028775,34054,2.98952
38,20,180,no-visualization,dynamic-collection,dynamic,400,1500,0.0251069228791253,1361,92.5412049999999,37134,3.533275
39,20,190,no-visualization,dynamic-collection,dynamic,400,1500,0.0246514281467611,1418,97.7910249999999,39425,3.506505
40,20,200,no-visualization,dynamic-collection,dynamic,400,1500,0.0252760278633402,1361,103.30813,40548,3.91389
41,30,10,no-visualization,dynamic-collection,dynamic,400,1500,0.0717258684949672,488,14.83242,6062,0.555225
42,30,20,no-visualization,dynamic-collection,dynamic,400,1500,0.0597512204642676,145,18.34753,6461,0.49313
43,30,30,no-visualization,dynamic-collection,dynamic,400,1500,0.0468468678281504,571,21.87256,9184,0.554625
44,30,40,no-visualization,dynamic-collection,dynamic,400,1500,0.0291985485785902,145,27.46569,11562,0.567375
45,30,50,no-visualization,dynamic-collection,dynamic,400,1500,0.0222214899918068,571,31.97597,13037,0.721915
46,30,60,no-visualization,dynamic-collection,dynamic,400,1500,0.0173798133461414,145,37.88165,14889,0.698855
47,30,70,no-visualization,dynamic-collection,dynamic,400,1500,0.016119298173475,571,43.15767,17392,1.00283
48,30,80,no-visualization,dynamic-collection,dynamic,400,1500,0.0147405423956678,145,48.1811849999999,17835,1.008155
49,30,90,no-visualization,dynamic-collection,dynamic,400,1500,0.0185190234119125,571,51.95867,20233,1.40857
50,30,100,no-visualization,dynamic-collection,dynamic,400,1500,0.0186311057961321,145,56.972355,23659,1.47123
51,30,110,no-visualization,dynamic-collection,dynamic,400,1500,0.0185564978317821,571,63.229775,25450,1.77893
52,30,120,no-visualization,dynamic-collection,dynamic,400,1500,0.0199482012189404,145,67.089445,25922,2.04323
53,30,130,no-visualization,dynamic-collection,dynamic,400,1500,0.0210177603134132,571,73.02753,29249,2.40199
54,30,140,no-visualization,dynamic-collection,dynamic,400,1500,0.0210938765561085,145,76.8474950000001,30144,2.416265
55,30,150,no-visualization,dynamic-collection,dynamic,400,1500,0.0216709697419503,571,82.73515,32440,2.813575
56,30,160,no-visualization,dynamic-collection,dynamic,400,1500,0.0214144101941276,145,88.596715,36093,3.002385
57,30,170,no-visualization,dynamic-collection,dynamic,400,1500,0.0227157184150371,571,92.0119800000001,36432,3.36717
58,30,180,no-visualization,dynamic-collection,dynamic,400,1500,0.0218903375584666,145,99.2697749999999,39481,3.457805
59,30,190,no-visualization,dynamic-collection,dynamic,400,1500,0.0223657736198378,571,103.45333,40832,3.697545
60,30,200,no-visualization,dynamic-collection,dynamic,400,1500,0.0231414594466463,145,107.678335,43750,3.954195
