[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,dynamic-collection,linear,400,1500,0.1212272598857,1028,9.25391999999999,3364,0.309365
2,10,20,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
3,10,30,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
4,10,40,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
5,10,50,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
6,10,60,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
7,10,70,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
8,10,80,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
9,10,90,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
10,10,100,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
11,10,110,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
12,10,120,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
13,10,130,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
14,10,140,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
15,10,150,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
16,10,160,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
17,10,170,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
18,10,180,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
19,10,190,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
20,10,200,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
21,20,10,no-visualization,dynamic-collection,linear,400,1500,0.0870304210308121,640,10.92731,4254,0.48156
22,20,20,no-visualization,dynamic-collection,linear,400,1500,0.0720881543251696,870,12.430535,4811,0.65918
23,20,30,no-visualization,dynamic-collection,linear,400,1500,0.0456613404373067,1055,15.65203,7154,0.759875
24,20,40,no-visualization,dynamic-collection,linear,400,1500,0.0330705370662603,1055,22.437115,8766,1.390175
25,20,50,no-visualization,dynamic-collection,linear,400,1500,0.0306318616278795,870,27.28828,10266,1.637975
26,20,60,no-visualization,dynamic-collection,linear,400,1500,0.0338461871357014,870,33.60531,12530,2.533745
27,20,70,no-visualization,dynamic-collection,linear,400,1500,0.0326915338795623,1055,38.426265,16314,2.8654
28,20,80,no-visualization,dynamic-collection,linear,400,1500,0.0345945941355841,870,43.930755,16915,3.486525
29,20,90,no-visualization,dynamic-collection,linear,400,1500,0.0360904952380533,1055,46.30048,19141,3.757495
30,20,100,no-visualization,dynamic-collection,linear,400,1500,0.0347914649264626,870,52.436295,21417,4.1715
31,20,110,no-visualization,dynamic-collection,linear,400,1500,0.036069970608886,1055,57.69957,21699,4.71718
32,20,120,no-visualization,dynamic-collection,linear,400,1500,0.0368286959033694,870,62.23684,24380,5.343625
33,20,130,no-visualization,dynamic-collection,linear,400,1500,0.0375631756786844,1055,68.3414,26320,5.89712
34,20,140,no-visualization,dynamic-collection,linear,400,1500,0.0379489294881086,870,72.1241700000001,30588,6.292295
35,20,150,no-visualization,dynamic-collection,linear,400,1500,0.0375263691340959,1055,77.8989800000001,29723,6.64988
36,20,160,no-visualization,dynamic-collection,linear,400,1500,0.0372797102728491,870,81.7893000000001,34121,6.991295
37,20,170,no-visualization,dynamic-collection,linear,400,1500,0.0375819447999444,1055,87.2951250000001,34974,7.39191
38,20,180,no-visualization,dynamic-collection,linear,400,1500,0.0376570637091333,870,92.0198399999999,34918,7.88605
39,20,190,no-visualization,dynamic-collection,linear,400,1500,0.0384142801462531,1055,96.66425,38751,8.54779499999999
40,20,200,no-visualization,dynamic-collection,linear,400,1500,0.0376488060040608,870,102.40378,42846,8.83814
41,30,10,no-visualization,dynamic-collection,linear,400,1500,0.0685715811768049,285,12.87175,5295,0.70157
42,30,20,no-visualization,dynamic-collection,linear,400,1500,0.0420249546660489,12,15.982265,6232,0.699015
43,30,30,no-visualization,dynamic-collection,linear,400,1500,0.0300650935160331,285,21.442375,9364,1.239795
44,30,40,no-visualization,dynamic-collection,linear,400,1500,0.0280244056719243,12,28.434455,11854,1.800935
45,30,50,no-visualization,dynamic-collection,linear,400,1500,0.0320186807697229,285,32.682915,12910,2.475515
46,30,60,no-visualization,dynamic-collection,linear,400,1500,0.0306548691120534,12,37.33748,15584,2.696625
47,30,70,no-visualization,dynamic-collection,linear,400,1500,0.0330955867028057,285,43.92512,17203,3.40514
48,30,80,no-visualization,dynamic-collection,linear,400,1500,0.0333732892318717,12,46.941225,19050,3.711975
49,30,90,no-visualization,dynamic-collection,linear,400,1500,0.0325352127618187,285,52.224345,21176,4.0564
50,30,100,no-visualization,dynamic-collection,linear,400,1500,0.0341896518488247,12,56.391825,20771,4.51658
51,30,110,no-visualization,dynamic-collection,linear,400,1500,0.034917818304053,285,61.79257,24368,5.200005
52,30,120,no-visualization,dynamic-collection,linear,400,1500,0.0358433934154233,12,67.9683899999999,26982,5.74227
53,30,130,no-visualization,dynamic-collection,linear,400,1500,0.0352044684060819,285,73.64389,30034,6.29497
54,30,140,no-visualization,dynamic-collection,linear,400,1500,0.036150643648302,12,75.4600200000001,31273,6.46068
55,30,150,no-visualization,dynamic-collection,linear,400,1500,0.0355463891568286,285,83.424745,33164,7.036575
56,30,160,no-visualization,dynamic-collection,linear,400,1500,0.0354566907658252,12,88.3356599999999,35812,7.33877
57,30,170,no-visualization,dynamic-collection,linear,400,1500,0.0363186747834235,285,90.330085,37261,7.61257499999999
58,30,180,no-visualization,dynamic-collection,linear,400,1500,0.036695422265609,12,98.066845,40687,8.48779500000001
59,30,190,no-visualization,dynamic-collection,linear,400,1500,0.0363831103034075,285,101.748415,41988,8.70207499999999
60,30,200,no-visualization,dynamic-collection,linear,400,1500,0.0367872055897706,12,105.660205,42596,9.071855
61,40,10,no-visualization,dynamic-collection,linear,400,1500,0.0374734159736985,2,17.29255,7141,0.74451
62,40,20,no-visualization,dynamic-collection,linear,400,1500,0.0356170788648729,0,20.66222,7860,1.28199
63,40,30,no-visualization,dynamic-collection,linear,400,1500,0.0269514976136686,0,25.821445,10574,1.412885
64,40,40,no-visualization,dynamic-collection,linear,400,1500,0.0301576463831966,0,32.43005,12360,2.35965
65,40,50,no-visualization,dynamic-collection,linear,400,1500,0.02849405929319,0,36.95825,15528,2.6069
66,40,60,no-visualization,dynamic-collection,linear,400,1500,0.0310986968962162,0,42.84977,17787,3.310895
67,40,70,no-visualization,dynamic-collection,linear,400,1500,0.0326016237784739,0,45.83137,18362,3.601085
68,40,80,no-visualization,dynamic-collection,linear,400,1500,0.0309872272801042,0,51.597655,20216,3.943655
69,40,90,no-visualization,dynamic-collection,linear,400,1500,0.0323673742523382,0,57.7385,22956,4.527205
70,40,100,no-visualization,dynamic-collection,linear,400,1500,0.0332361317678135,0,62.175375,23908,5.170145
71,40,110,no-visualization,dynamic-collection,linear,400,1500,0.0343302244490929,0,69.079705,25966,5.78897
72,40,120,no-visualization,dynamic-collection,linear,400,1500,0.034793824469832,0,71.298355,29261,6.071845
73,40,130,no-visualization,dynamic-collection,linear,400,1500,0.034556038122176,0,76.86708,30932,6.44060499999999
74,40,140,no-visualization,dynamic-collection,linear,400,1500,0.0336346304610439,0,84.061515,33653,6.90388499999999
75,40,150,no-visualization,dynamic-collection,linear,400,1500,0.0343742392674606,0,86.93664,33693,7.1556
76,40,160,no-visualization,dynamic-collection,linear,400,1500,0.0346960926196851,0,91.6593350000001,35827,7.628545
77,40,170,no-visualization,dynamic-collection,linear,400,1500,0.0358105316519749,0,95.5385100000001,36371,8.20216000000001
78,40,180,no-visualization,dynamic-collection,linear,400,1500,0.0347341280740029,0,104.072435,40754,8.71373999999999
79,40,190,no-visualization,dynamic-collection,linear,400,1500,0.0353784931475016,0,107.155895,41487,9.155695
80,40,200,no-visualization,dynamic-collection,linear,400,1500,0.0359483331434661,0,113.704335,44381,9.877625
81,50,10,no-visualization,dynamic-collection,linear,400,1500,0.0385707283855727,0,21.611345,9281,1.3664
82,50,20,no-visualization,dynamic-collection,linear,400,1500,0.0288888273828422,0,27.06193,11139,1.52502
83,50,30,no-visualization,dynamic-collection,linear,400,1500,0.0326152800323914,0,31.422205,12137,2.384355
84,50,40,no-visualization,dynamic-collection,linear,400,1500,0.0306446664194715,0,34.90048,14765,2.544
85,50,50,no-visualization,dynamic-collection,linear,400,1500,0.0295013887375671,0,40.80781,16641,3.06738
86,50,60,no-visualization,dynamic-collection,linear,400,1500,0.0302243328988907,0,46.703625,18512,3.55435
87,50,70,no-visualization,dynamic-collection,linear,400,1500,0.0299769911137898,0,52.727735,20272,3.974465
88,50,80,no-visualization,dynamic-collection,linear,400,1500,0.0316314949688743,0,56.408865,22754,4.392295
89,50,90,no-visualization,dynamic-collection,linear,400,1500,0.0320735717932391,0,61.516535,24707,5.01053500000001
90,50,100,no-visualization,dynamic-collection,linear,400,1500,0.0331054311745554,0,68.960635,27235,5.711635
91,50,110,no-visualization,dynamic-collection,linear,400,1500,0.0333339122704446,0,72.21766,29294,6.08967499999999
92,50,120,no-visualization,dynamic-collection,linear,400,1500,0.033685445271331,0,75.40782,31467,6.303425
93,50,130,no-visualization,dynamic-collection,linear,400,1500,0.0332569162281359,0,82.19331,32243,6.784185
94,50,140,no-visualization,dynamic-collection,linear,400,1500,0.0329979459307834,0,88.755935,35966,7.18028499999999
95,50,150,no-visualization,dynamic-collection,linear,400,1500,0.0336112668457125,0,91.45015,37778,7.51894500000001
96,50,160,no-visualization,dynamic-collection,linear,400,1500,0.0342175171611644,0,97.730625,39465,8.2667
97,50,170,no-visualization,dynamic-collection,linear,400,1500,0.0337974358028645,0,102.30054,40592,8.43974
98,50,180,no-visualization,dynamic-collection,linear,400,1500,0.0344576034038038,0,107.74914,43478,9.10178999999999
99,50,190,no-visualization,dynamic-collection,linear,400,1500,0.0348521984126938,0,113.06221,45856,9.698715
100,50,200,no-visualization,dynamic-collection,linear,400,1500,0.0354420983975458,0,116.515295,46271,10.16324
101,60,10,no-visualization,dynamic-collection,linear,400,1500,0.0383240809468034,0,25.990555,9308,1.727315
102,60,20,no-visualization,dynamic-collection,linear,400,1500,0.0353035955688072,0,31.836555,12313,2.460645
103,60,30,no-visualization,dynamic-collection,linear,400,1500,0.0320619095343069,0,35.678955,15018,2.60057
104,60,40,no-visualization,dynamic-collection,linear,400,1500,0.0302966320846877,0,39.7046,16778,2.959515
105,60,50,no-visualization,dynamic-collection,linear,400,1500,0.0307687063943941,0,45.70377,19513,3.50568
106,60,60,no-visualization,dynamic-collection,linear,400,1500,0.0289865777985759,0,52.3985499999999,21849,3.90712
107,60,70,no-visualization,dynamic-collection,linear,400,1500,0.0303397480746704,0,58.140625,23152,4.46754
108,60,80,no-visualization,dynamic-collection,linear,400,1500,0.0314130002578402,0,62.99631,25388,5.17306
109,60,90,no-visualization,dynamic-collection,linear,400,1500,0.0327082791640019,0,67.2356200000001,27982,5.53351
110,60,100,no-visualization,dynamic-collection,linear,400,1500,0.0330589299339669,0,71.380285,29989,5.960345
111,60,110,no-visualization,dynamic-collection,linear,400,1500,0.0329746228936048,0,77.6922150000001,30645,6.35465
112,60,120,no-visualization,dynamic-collection,linear,400,1500,0.0321672109247025,0,82.006915,32902,6.657595
113,60,130,no-visualization,dynamic-collection,linear,400,1500,0.0325685449663038,0,87.150735,35434,7.02894
114,60,140,no-visualization,dynamic-collection,linear,400,1500,0.0328561068188055,0,90.9278100000001,37121,7.40230499999999
115,60,150,no-visualization,dynamic-collection,linear,400,1500,0.0336055184802324,0,97.506295,38206,8.18805
116,60,160,no-visualization,dynamic-collection,linear,400,1500,0.0329752563602831,0,103.98069,40295,8.53141
117,60,170,no-visualization,dynamic-collection,linear,400,1500,0.033471915071051,0,109.46317,43414,9.17532499999999
118,60,180,no-visualization,dynamic-collection,linear,400,1500,0.0340456149221037,0,111.975805,44181,9.43653
119,60,190,no-visualization,dynamic-collection,linear,400,1500,0.0342877306576208,0,117.51954,48735,10.065885
120,60,200,no-visualization,dynamic-collection,linear,400,1500,0.0339531082348557,0,124.06461,50949,10.437365
121,70,10,no-visualization,dynamic-collection,linear,400,1500,0.0402652021061339,0,31.22499,12721,2.48549
122,70,20,no-visualization,dynamic-collection,linear,400,1500,0.0334356020643258,0,36.68328,15185,2.672105
123,70,30,no-visualization,dynamic-collection,linear,400,1500,0.0328733512190646,0,42.735295,16438,3.33979
124,70,40,no-visualization,dynamic-collection,linear,400,1500,0.0307631218721624,0,48.17416,18002,3.695975
125,70,50,no-visualization,dynamic-collection,linear,400,1500,0.0299440926169291,0,51.200825,21628,3.89177
126,70,60,no-visualization,dynamic-collection,linear,400,1500,0.0305190457111145,0,55.899935,22323,4.264125
127,70,70,no-visualization,dynamic-collection,linear,400,1500,0.0309708911164674,0,62.102095,24354,5.01642499999999
128,70,80,no-visualization,dynamic-collection,linear,400,1500,0.0327887393819633,0,66.49736,25643,5.479665
129,70,90,no-visualization,dynamic-collection,linear,400,1500,0.0318969682282343,0,72.58482,29652,6.004145
130,70,100,no-visualization,dynamic-collection,linear,400,1500,0.032653959865803,0,77.161485,31274,6.31544
131,70,110,no-visualization,dynamic-collection,linear,400,1500,0.0315868848505002,0,82.682155,32239,6.657085
132,70,120,no-visualization,dynamic-collection,linear,400,1500,0.0318949349905976,0,88.967535,34639,7.09615
133,70,130,no-visualization,dynamic-collection,linear,400,1500,0.0322305515985919,0,92.64177,37762,7.5723
134,70,140,no-visualization,dynamic-collection,linear,400,1500,0.0331078864047837,0,97.68327,37003,8.15301
135,70,150,no-visualization,dynamic-collection,linear,400,1500,0.0322569393783074,0,102.96686,40555,8.35280999999999
136,70,160,no-visualization,dynamic-collection,linear,400,1500,0.0328821547778643,0,106.01077,43165,8.794355
137,70,170,no-visualization,dynamic-collection,linear,400,1500,0.0331966008421849,0,112.508695,45670,9.37264
138,70,180,no-visualization,dynamic-collection,linear,400,1500,0.0337767344030912,0,116.99598,45839,9.99693
139,70,190,no-visualization,dynamic-collection,linear,400,1500,0.0334995152583679,0,122.326185,48258,10.20795
140,70,200,no-visualization,dynamic-collection,linear,400,1500,0.0335019576499498,0,125.33833,50363,10.478945
141,80,10,no-visualization,dynamic-collection,linear,400,1500,0.04008092825348,0,35.367445,14543,2.767155
142,80,20,no-visualization,dynamic-collection,linear,400,1500,0.0354019634981603,0,42.0044599999999,16358,3.38108
143,80,30,no-visualization,dynamic-collection,linear,400,1500,0.0324968717170617,0,48.23834,19151,3.791185
144,80,40,no-visualization,dynamic-collection,linear,400,1500,0.030940053492802,0,52.254175,19617,3.9923
145,80,50,no-visualization,dynamic-collection,linear,400,1500,0.0309043917467029,0,57.0910549999999,22664,4.412885
146,80,60,no-visualization,dynamic-collection,linear,400,1500,0.031255151759876,0,61.8195500000001,24222,5.01518
147,80,70,no-visualization,dynamic-collection,linear,400,1500,0.0327617241847756,0,66.26721,27411,5.468705
148,80,80,no-visualization,dynamic-collection,linear,400,1500,0.0322127067163958,0,70.797665,28545,5.86562
149,80,90,no-visualization,dynamic-collection,linear,400,1500,0.0323925244190713,0,77.25384,31106,6.254815
150,80,100,no-visualization,dynamic-collection,linear,400,1500,0.0315979649564865,0,82.0750150000001,30695,6.615365
151,80,110,no-visualization,dynamic-collection,linear,400,1500,0.0318402555958233,0,87.7448500000001,33304,7.012815
152,80,120,no-visualization,dynamic-collection,linear,400,1500,0.0318876834583915,0,93.25859,37309,7.632465
153,80,130,no-visualization,dynamic-collection,linear,400,1500,0.0328663336650492,0,97.60298,38150,8.14939999999999
154,80,140,no-visualization,dynamic-collection,linear,400,1500,0.0320872964559438,0,102.615915,40558,8.35958499999999
155,80,150,no-visualization,dynamic-collection,linear,400,1500,0.0323946762278794,0,106.834095,42432,8.837565
156,80,160,no-visualization,dynamic-collection,linear,400,1500,0.032806333995285,0,112.55058,44397,9.32681
157,80,170,no-visualization,dynamic-collection,linear,400,1500,0.0329125441747636,0,119.070155,47375,9.949565
