[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,dynamic-collection,uniform,400,1500,0.162883894334617,2599,15.65212,5883,0.671110000000001
2,10,20,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
3,10,30,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
4,10,40,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
5,10,50,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
6,10,60,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
7,10,70,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
8,10,80,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
9,10,90,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
10,10,100,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
11,10,110,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
12,10,120,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
13,10,130,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
14,10,140,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
15,10,150,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
16,10,160,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
17,10,170,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
18,10,180,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
19,10,190,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
20,10,200,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
21,20,10,no-visualization,dynamic-collection,uniform,400,1500,0.152334250798424,2149,16.892055,7151,0.701985
22,20,20,no-visualization,dynamic-collection,uniform,400,1500,0.135530185601341,3550,19.237175,8024,0.700354999999999
23,20,30,no-visualization,dynamic-collection,uniform,400,1500,0.130258076305565,3352,20.84633,9111,0.62083
24,20,40,no-visualization,dynamic-collection,uniform,400,1500,0.105356815895074,4032,26.520525,10857,0.663379999999999
25,20,50,no-visualization,dynamic-collection,uniform,400,1500,0.104451395632075,3684,28.503415,11296,0.826444999999999
26,20,60,no-visualization,dynamic-collection,uniform,400,1500,0.100850879432419,4159,31.69967,12289,0.778005000000001
27,20,70,no-visualization,dynamic-collection,uniform,400,1500,0.0863038768047588,3779,37.35673,16133,0.902405
28,20,80,no-visualization,dynamic-collection,uniform,400,1500,0.0791935632169337,4169,43.573065,16459,0.811824999999999
29,20,90,no-visualization,dynamic-collection,uniform,400,1500,0.0729386899885762,3779,48.191875,19846,1.052915
30,20,100,no-visualization,dynamic-collection,uniform,400,1500,0.071337641415612,4169,52.59533,22116,0.965595
31,20,110,no-visualization,dynamic-collection,uniform,400,1500,0.0661016438471909,3779,57.398805,22814,1.173765
32,20,120,no-visualization,dynamic-collection,uniform,400,1500,0.0628114387134795,4169,63.07966,25307,1.133285
33,20,130,no-visualization,dynamic-collection,uniform,400,1500,0.0627731589541092,3779,67.20829,25928,1.30639
34,20,140,no-visualization,dynamic-collection,uniform,400,1500,0.0581108507410358,4169,73.7793600000001,27879,1.309705
35,20,150,no-visualization,dynamic-collection,uniform,400,1500,0.0581820311653869,3779,78.6943299999999,30693,1.50812
36,20,160,no-visualization,dynamic-collection,uniform,400,1500,0.0557780225086733,4169,82.770235,33148,1.48916
37,20,170,no-visualization,dynamic-collection,uniform,400,1500,0.0552538106529536,3779,86.9686500000001,35857,1.62722
38,20,180,no-visualization,dynamic-collection,uniform,400,1500,0.0542033318330737,4169,92.31132,38662,1.65071
39,20,190,no-visualization,dynamic-collection,uniform,400,1500,0.0530598966643996,3779,96.151935,40363,1.78218
40,20,200,no-visualization,dynamic-collection,uniform,400,1500,0.0521136534046005,4169,102.645365,42777,1.840555
41,30,10,no-visualization,dynamic-collection,uniform,400,1500,0.141712022258809,1323,19.114175,7790,0.757644999999999
42,30,20,no-visualization,dynamic-collection,uniform,400,1500,0.123296655146542,783,21.823105,8185,0.52475
43,30,30,no-visualization,dynamic-collection,uniform,400,1500,0.107294362843162,1854,25.444045,9706,0.549240000000001
44,30,40,no-visualization,dynamic-collection,uniform,400,1500,0.0958940816582956,1092,30.52657,12504,0.651835
45,30,50,no-visualization,dynamic-collection,uniform,400,1500,0.0886547551536431,1986,34.01913,12803,0.563785
46,30,60,no-visualization,dynamic-collection,uniform,400,1500,0.0758324011251794,1180,40.11499,15803,0.750485
47,30,70,no-visualization,dynamic-collection,uniform,400,1500,0.0755572583225124,1993,42.80749,17754,0.722010000000001
48,30,80,no-visualization,dynamic-collection,uniform,400,1500,0.0704371355795189,1180,46.56666,19177,0.8691
49,30,90,no-visualization,dynamic-collection,uniform,400,1500,0.0667961211928215,1993,51.392745,21845,0.941955
50,30,100,no-visualization,dynamic-collection,uniform,400,1500,0.0608965190661762,1180,57.78405,22483,1.03
