[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth,avg-diff
1,0,0,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
2,0,10,color-agents-by-decile,linear-collection,dynamic,400,0,0,0,0,0,0
3,0,20,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
4,0,30,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
5,0,40,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
6,0,50,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
7,0,60,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
8,0,70,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
9,0,80,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
10,0,90,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
11,0,100,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
12,0,110,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
13,0,120,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
14,0,130,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
15,0,140,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
16,0,150,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
17,0,160,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
18,0,170,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
19,0,180,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
20,0,190,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
21,0,200,color-agents-by-decile,linear-collection,dynamic,400,0,0.0322158259323339,0,205.4343,82644,0.23
22,10,0,color-agents-by-decile,linear-collection,dynamic,400,1000,0.114704648638824,682,18.2601,7851,-0.9
23,10,10,color-agents-by-decile,linear-collection,dynamic,400,0,0,0,0,0,0
24,10,20,color-agents-by-decile,linear-collection,dynamic,400,0,0,0,0,0,0
