[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,linear-collection,dynamic,400,1500,0.0426323975222012,904,7.952825,3919,0.491025
2,10,20,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
3,10,30,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
4,10,40,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
5,10,50,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
6,10,60,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
7,10,70,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
8,10,80,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
9,10,90,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
10,10,100,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
11,10,110,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
12,10,120,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
13,10,130,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
14,10,140,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
15,10,150,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
16,10,160,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
17,10,170,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
18,10,180,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
19,10,190,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
20,10,200,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
21,20,10,no-visualization,linear-collection,dynamic,400,1500,0.0378879826418421,483,9.793425,4172,0.68151
22,20,20,no-visualization,linear-collection,dynamic,400,1500,0.0433875634032973,578,12.754655,4000,1.196235
23,20,30,no-visualization,linear-collection,dynamic,400,1500,0.0469474210389349,905,16.556705,6828,1.89035
24,20,40,no-visualization,linear-collection,dynamic,400,1500,0.0457056320716207,578,20.906535,8771,2.51479
25,20,50,no-visualization,linear-collection,dynamic,400,1500,0.0474236768957197,905,26.296685,10359,3.39305
26,20,60,no-visualization,linear-collection,dynamic,400,1500,0.0473890455526401,578,31.98547,12826,4.275095
27,20,70,no-visualization,linear-collection,dynamic,400,1500,0.0480008933473818,905,35.946765,16111,4.9409
28,20,80,no-visualization,linear-collection,dynamic,400,1500,0.0469404203662872,578,43.796305,16991,5.925515
29,20,90,no-visualization,linear-collection,dynamic,400,1500,0.0473840267435826,905,47.64311,18608,6.501215
30,20,100,no-visualization,linear-collection,dynamic,400,1500,0.0478274500003666,578,52.42168,21695,7.22952
31,20,110,no-visualization,linear-collection,dynamic,400,1500,0.0482969630618676,905,56.0686249999999,22177,7.788635
32,20,120,no-visualization,linear-collection,dynamic,400,1500,0.0483349767826616,578,62.442265,24141,8.721965
33,20,130,no-visualization,linear-collection,dynamic,400,1500,0.0493529497723211,905,66.674665,25043,9.50227499999999
