[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth,avg-diff
1,0,0,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
2,0,10,color-agents-by-decile,linear-collection,poorest,400,0,0,0,0,0,0
3,0,20,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
4,0,30,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
5,0,40,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
6,0,50,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
7,0,60,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
8,0,70,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
9,0,80,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
10,0,90,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
11,0,100,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
12,0,110,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
13,0,120,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
14,0,130,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
15,0,140,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
16,0,150,color-agents-by-decile,linear-collection,poorest,400,0,0,0,0,0,0
17,0,160,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
18,0,170,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
19,0,180,color-agents-by-decile,linear-collection,poorest,400,0,0.0817885009413367,0,209.390625,84403,-5.465
