[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,linear-collection,poorest,400,1500,0.0854780675765617,692,5.477615,2099,0.722620000000001
2,10,20,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
3,10,30,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
4,10,40,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
5,10,50,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
6,10,60,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
7,10,70,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
8,10,80,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
9,10,90,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
10,10,100,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
11,10,110,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
12,10,120,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
13,10,130,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
14,10,140,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
15,10,150,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
16,10,160,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
17,10,170,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
18,10,180,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
19,10,190,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
20,10,200,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
21,20,10,no-visualization,linear-collection,poorest,400,1500,0.0993841453578007,86,6.60429,2613,1.21129
22,20,20,no-visualization,linear-collection,poorest,400,1500,0.123186793519889,86,11.983805,3832,3.066445
23,20,30,no-visualization,linear-collection,poorest,400,1500,0.148815575069765,692,17.16878,6909,5.139305
24,20,40,no-visualization,linear-collection,poorest,400,1500,0.166050958334589,86,24.186245,9501,7.897125
25,20,50,no-visualization,linear-collection,poorest,400,1500,0.167300988740224,692,27.15881,11620,8.93811999999999
26,20,60,no-visualization,linear-collection,poorest,400,1500,0.174670148548105,86,31.82665,11595,10.93839
27,20,70,no-visualization,linear-collection,poorest,400,1500,0.17633311530296,692,36.25098,14117,12.570245
28,20,80,no-visualization,linear-collection,poorest,400,1500,0.178107749278915,86,43.89995,15939,15.34514
29,20,90,no-visualization,linear-collection,poorest,400,1500,0.179735967591581,692,47.025665,19490,16.678505
30,20,100,no-visualization,linear-collection,poorest,400,1500,0.180235052895854,86,53.96087,21419,19.13207
31,20,110,no-visualization,linear-collection,poorest,400,1500,0.180929068900371,692,58.616655,23971,20.900985
32,20,120,no-visualization,linear-collection,poorest,400,1500,0.181578412716942,86,61.6070999999999,24357,22.06317
33,20,130,no-visualization,linear-collection,poorest,400,1500,0.182304008831459,692,67.67963,26691,24.35262
34,20,140,no-visualization,linear-collection,poorest,400,1500,0.182351207335979,86,70.571525,29012,25.407805
35,20,150,no-visualization,linear-collection,poorest,400,1500,0.183357524129697,692,76.6122950000001,31058,27.68349
36,20,160,no-visualization,linear-collection,poorest,400,1500,0.184010971018839,86,82.051945,32357,29.775255
37,20,170,no-visualization,linear-collection,poorest,400,1500,0.18369509408589,692,88.248835,36388,31.95416
38,20,180,no-visualization,linear-collection,poorest,400,1500,0.184241148036132,86,91.3425699999999,36951,33.12838
39,20,190,no-visualization,linear-collection,poorest,400,1500,0.185177179341186,692,97.9864600000002,39201,35.674865
40,20,200,no-visualization,linear-collection,poorest,400,1500,0.184684061823963,86,105.31436,41897,38.274765
41,30,10,no-visualization,linear-collection,poorest,400,1500,0.11776526705246,9,9.588905,4112,2.265105
42,30,20,no-visualization,linear-collection,poorest,400,1500,0.142697621434586,0,15.213835,7407,4.398475
43,30,30,no-visualization,linear-collection,poorest,400,1500,0.161169182816201,9,21.91685,9353,6.970065
44,30,40,no-visualization,linear-collection,poorest,400,1500,0.166560804936236,0,27.705455,10539,9.085835
45,30,50,no-visualization,linear-collection,poorest,400,1500,0.17438555796292,9,32.95389,13959,11.32214
46,30,60,no-visualization,linear-collection,poorest,400,1500,0.174834728254272,0,36.74342,15724,12.688985
47,30,70,no-visualization,linear-collection,poorest,400,1500,0.177223501862597,9,42.391255,16925,14.79794
48,30,80,no-visualization,linear-collection,poorest,400,1500,0.179160584787392,0,46.66399,18453,16.52586
49,30,90,no-visualization,linear-collection,poorest,400,1500,0.180668536456383,9,54.23462,20610,19.312675
50,30,100,no-visualization,linear-collection,poorest,400,1500,0.181303177944452,0,55.2264549999999,22032,19.76684
51,30,110,no-visualization,linear-collection,poorest,400,1500,0.181573382850277,9,62.1844799999999,24708,22.312445
52,30,120,no-visualization,linear-collection,poorest,400,1500,0.182446082400813,0,66.294435,26731,23.92929
53,30,130,no-visualization,linear-collection,poorest,400,1500,0.182677858689457,0,72.4917300000001,29172,26.10699
54,30,140,no-visualization,linear-collection,poorest,400,1500,0.183647993286192,9,77.537435,30582,28.07721
