[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
2,10,20,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
3,10,30,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
4,10,40,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
5,10,50,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
6,10,60,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
7,10,70,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
8,10,80,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
9,10,90,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
10,10,100,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
11,10,110,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
12,10,120,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
13,10,130,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
14,10,140,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
15,10,150,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
16,10,160,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
17,10,170,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
18,10,180,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
19,10,190,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
20,10,200,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
21,20,10,no-visualization,linear-collection,linear,400,1500,0.274229694957063,6264,10.11662,4015,0.43814
22,20,20,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
23,20,30,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
24,20,40,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
25,20,50,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
26,20,60,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
27,20,70,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
28,20,80,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
29,20,90,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
30,20,100,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
31,20,110,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
32,20,120,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
33,20,130,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
34,20,140,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
35,20,150,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
36,20,160,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
37,20,170,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
38,20,180,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
39,20,190,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
40,20,200,no-visualization,linear-collection,linear,400,0,0.233201304450329,0,35.29917,12529,5.213725
41,30,10,no-visualization,linear-collection,linear,400,1500,0.288853605655166,5627,11.383315,4448,0.648305
42,30,20,no-visualization,linear-collection,linear,400,1500,0.270036157494241,4487,12.281475,4972,0.736325
43,30,30,no-visualization,linear-collection,linear,400,0,0.288853605655166,5627,11.383315,4448,0.648305
44,30,40,no-visualization,linear-collection,linear,400,0,0.288853605655166,5627,11.383315,4448,0.648305
45,30,50,no-visualization,linear-collection,linear,400,0,0.288853605655166,5627,11.383315,4448,0.648305
46,30,60,no-visualization,linear-collection,linear,400,0,0.288853605655166,5627,11.383315,4448,0.648305
47,30,70,no-visualization,linear-collection,linear,400,0,0.288853605655166,5627,11.383315,4448,0.648305
48,30,80,no-visualization,linear-collection,linear,400,0,0.288853605655166,5627,11.383315,4448,0.648305
49,30,90,no-visualization,linear-collection,linear,400,0,0.288853605655166,5627,11.383315,4448,0.648305
50,30,100,no-visualization,linear-collection,linear,400,0,0.288853605655166,5627,11.383315,4448,0.648305
