[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
2,10,20,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
3,10,30,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
4,10,40,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
5,10,50,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
6,10,60,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
7,10,70,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
8,10,80,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
9,10,90,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
10,10,100,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
11,10,110,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
12,10,120,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
13,10,130,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
14,10,140,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
15,10,150,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
16,10,160,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
17,10,170,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
18,10,180,no-visualization,linear-collection,uniform,400,0,0.267582203560698,0,49.825175,19546,6.73061500000001
19,10,190,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
20,10,200,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
21,20,10,no-visualization,linear-collection,uniform,400,1500,0.199438720109786,9450,12.58379,5079,0.520265
22,20,20,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
23,20,30,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
24,20,40,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
25,20,50,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
26,20,60,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
27,20,70,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
28,20,80,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
29,20,90,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
30,20,100,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
