[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
2,10,20,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
3,10,30,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
4,10,40,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
5,10,50,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
6,10,60,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
7,10,70,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
8,10,80,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
9,10,90,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
10,10,100,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
11,10,110,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
12,10,120,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
13,10,130,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
14,10,140,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
15,10,150,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
16,10,160,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
17,10,170,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
18,10,180,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
19,10,190,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
20,10,200,no-visualization,uniform-collection,dynamic,400,0,0.243321927226668,270,56.904605,24670,5.423165
21,20,10,no-visualization,uniform-collection,dynamic,400,1500,0.319442422113238,7585,18.109395,7149,0.723745
22,20,20,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
23,20,30,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
24,20,40,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
25,20,50,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
26,20,60,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
27,20,70,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
28,20,80,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
29,20,90,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
30,20,100,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
31,20,110,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
32,20,120,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
33,20,130,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
34,20,140,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
35,20,150,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
36,20,160,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
37,20,170,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
38,20,180,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
39,20,190,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
40,20,200,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
41,30,10,no-visualization,uniform-collection,dynamic,400,1500,0.315449273972194,6700,19.04456,7654,0.785574999999999
42,30,20,no-visualization,uniform-collection,dynamic,400,1500,0.30195838635685,5673,20.298425,8775,0.797740000000001
43,30,30,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
44,30,40,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
45,30,50,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
46,30,60,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
47,30,70,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
48,30,80,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
49,30,90,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
50,30,100,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
51,30,110,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
52,30,120,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
53,30,130,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
54,30,140,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
55,30,150,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
56,30,160,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
57,30,170,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
58,30,180,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
59,30,190,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
60,30,200,no-visualization,uniform-collection,dynamic,400,0,0.315449273972194,6700,19.04456,7654,0.785574999999999
61,40,10,no-visualization,uniform-collection,dynamic,400,1500,0.324268766833075,5893,20.75856,8143,0.8682
62,40,20,no-visualization,uniform-collection,dynamic,400,1500,0.313136719670381,5067,21.9415,8835,0.907875
63,40,30,no-visualization,uniform-collection,dynamic,400,1500,0.311016745035258,4479,23.41532,9041,1.00915
64,40,40,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
65,40,50,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
66,40,60,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
67,40,70,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
68,40,80,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
69,40,90,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
70,40,100,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
71,40,110,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
72,40,120,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
73,40,130,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
74,40,140,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
75,40,150,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
76,40,160,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
77,40,170,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
78,40,180,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
79,40,190,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
80,40,200,no-visualization,uniform-collection,dynamic,400,0,0.313136719670381,5067,21.9415,8835,0.907875
81,50,10,no-visualization,uniform-collection,dynamic,400,1500,0.344746170833131,4575,21.847205,8994,0.9396
82,50,20,no-visualization,uniform-collection,dynamic,400,1500,0.325627947681593,4101,23.399985,9581,0.986695000000001
83,50,30,no-visualization,uniform-collection,dynamic,400,1500,0.314317496938699,3827,25.02276,10107,1.09761
84,50,40,no-visualization,uniform-collection,dynamic,400,1500,0.303202339995445,3590,26.678395,10677,1.2056
85,50,50,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
86,50,60,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
87,50,70,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
88,50,80,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
89,50,90,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
90,50,100,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
91,50,110,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
92,50,120,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
93,50,130,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
94,50,140,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
95,50,150,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
96,50,160,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
97,50,170,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
98,50,180,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
99,50,190,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
100,50,200,no-visualization,uniform-collection,dynamic,400,0,0.303202339995445,3590,26.678395,10677,1.2056
101,60,10,no-visualization,uniform-collection,dynamic,400,1500,0.349908798103042,4035,23.66219,9748,1.07547
102,60,20,no-visualization,uniform-collection,dynamic,400,1500,0.334503698484085,3803,25.09245,10241,1.16364
103,60,30,no-visualization,uniform-collection,dynamic,400,1500,0.32293712776205,3608,26.637545,10579,1.26377
104,60,40,no-visualization,uniform-collection,dynamic,400,1500,0.308814152791752,2922,28.30659,11485,1.34654
105,60,50,no-visualization,uniform-collection,dynamic,400,1500,0.305199124846732,2417,29.97133,12117,1.481005
106,60,60,no-visualization,uniform-collection,dynamic,400,0,0.308814152791752,2922,28.30659,11485,1.34654
107,60,70,no-visualization,uniform-collection,dynamic,400,0,0.308814152791752,2922,28.30659,11485,1.34654
108,60,80,no-visualization,uniform-collection,dynamic,400,0,0.308814152791752,2922,28.30659,11485,1.34654
109,60,90,no-visualization,uniform-collection,dynamic,400,0,0.308814152791752,2922,28.30659,11485,1.34654
110,60,100,no-visualization,uniform-collection,dynamic,400,0,0.308814152791752,2922,28.30659,11485,1.34654
111,60,110,no-visualization,uniform-collection,dynamic,400,0,0.308814152791752,2922,28.30659,11485,1.34654
112,60,120,no-visualization,uniform-collection,dynamic,400,0,0.308814152791752,2922,28.30659,11485,1.34654
113,60,130,no-visualization,uniform-collection,dynamic,400,0,0.308814152791752,2922,28.30659,11485,1.34654
114,60,140,no-visualization,uniform-collection,dynamic,400,0,0.308814152791752,2922,28.30659,11485,1.34654
115,60,150,no-visualization,uniform-collection,dynamic,400,0,0.308814152791752,2922,28.30659,11485,1.34654
116,60,160,no-visualization,uniform-collection,dynamic,400,0,0.308814152791752,2922,28.30659,11485,1.34654
117,60,170,no-visualization,uniform-collection,dynamic,400,0,0.308814152791752,2922,28.30659,11485,1.34654
118,60,180,no-visualization,uniform-collection,dynamic,400,0,0.308814152791752,2922,28.30659,11485,1.34654
119,60,190,no-visualization,uniform-collection,dynamic,400,0,0.308814152791752,2922,28.30659,11485,1.34654
120,60,200,no-visualization,uniform-collection,dynamic,400,0,0.308814152791752,2922,28.30659,11485,1.34654
121,70,10,no-visualization,uniform-collection,dynamic,400,1500,0.35687304507598,3995,25.344,9781,1.245145
122,70,20,no-visualization,uniform-collection,dynamic,400,1500,0.338805275880211,3587,26.60295,10070,1.313495
123,70,30,no-visualization,uniform-collection,dynamic,400,1500,0.322677655360589,2810,28.622785,11432,1.36295
124,70,40,no-visualization,uniform-collection,dynamic,400,1500,0.304134737391866,2370,30.13134,11958,1.445285
125,70,50,no-visualization,uniform-collection,dynamic,400,1500,0.306457826631814,2132,31.627475,13128,1.61363
126,70,60,no-visualization,uniform-collection,dynamic,400,1500,0.294634548207579,2001,33.874795,12967,1.76699
127,70,70,no-visualization,uniform-collection,dynamic,400,0,0.306457826631814,2132,31.627475,13128,1.61363
128,70,80,no-visualization,uniform-collection,dynamic,400,0,0.306457826631814,2132,31.627475,13128,1.61363
129,70,90,no-visualization,uniform-collection,dynamic,400,0,0.306457826631814,2132,31.627475,13128,1.61363
130,70,100,no-visualization,uniform-collection,dynamic,400,0,0.306457826631814,2132,31.627475,13128,1.61363
131,70,110,no-visualization,uniform-collection,dynamic,400,0,0.306457826631814,2132,31.627475,13128,1.61363
132,70,120,no-visualization,uniform-collection,dynamic,400,0,0.306457826631814,2132,31.627475,13128,1.61363
133,70,130,no-visualization,uniform-collection,dynamic,400,0,0.306457826631814,2132,31.627475,13128,1.61363
134,70,140,no-visualization,uniform-collection,dynamic,400,0,0.306457826631814,2132,31.627475,13128,1.61363
135,70,150,no-visualization,uniform-collection,dynamic,400,0,0.306457826631814,2132,31.627475,13128,1.61363
136,70,160,no-visualization,uniform-collection,dynamic,400,0,0.306457826631814,2132,31.627475,13128,1.61363
137,70,170,no-visualization,uniform-collection,dynamic,400,0,0.306457826631814,2132,31.627475,13128,1.61363
138,70,180,no-visualization,uniform-collection,dynamic,400,0,0.306457826631814,2132,31.627475,13128,1.61363
139,70,190,no-visualization,uniform-collection,dynamic,400,0,0.306457826631814,2132,31.627475,13128,1.61363
140,70,200,no-visualization,uniform-collection,dynamic,400,0,0.306457826631814,2132,31.627475,13128,1.61363
141,80,10,no-visualization,uniform-collection,dynamic,400,1500,0.351172353296556,3281,27.187875,10633,1.329445
142,80,20,no-visualization,uniform-collection,dynamic,400,1500,0.33019282158419,2692,28.67352,11384,1.4056
143,80,30,no-visualization,uniform-collection,dynamic,400,1500,0.31530776770936,2444,30.41732,12263,1.48786
144,80,40,no-visualization,uniform-collection,dynamic,400,1500,0.304325520036555,2130,32.166295,13040,1.58668
