[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,uniform-collection,linear,400,1500,0.220554953770637,1341,9.43695500000001,3441,0.359125
2,10,20,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
3,10,30,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
4,10,40,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
5,10,50,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
6,10,60,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
7,10,70,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
8,10,80,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
9,10,90,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
10,10,100,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
11,10,110,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
12,10,120,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
13,10,130,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
14,10,140,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
15,10,150,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
16,10,160,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
17,10,170,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
18,10,180,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
19,10,190,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
20,10,200,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
21,20,10,no-visualization,uniform-collection,linear,400,1500,0.168786814108449,818,11.05295,4006,0.504555
22,20,20,no-visualization,uniform-collection,linear,400,1500,0.115031380217959,1484,13.31941,4905,0.64098
23,20,30,no-visualization,uniform-collection,linear,400,1500,0.0589610403989127,826,17.780435,7674,0.750645
24,20,40,no-visualization,uniform-collection,linear,400,1500,0.0379058115732537,826,22.72874,7829,1.22652
25,20,50,no-visualization,uniform-collection,linear,400,1500,0.0293828486805998,1485,27.608105,11006,1.41536
26,20,60,no-visualization,uniform-collection,linear,400,1500,0.0357287517074093,826,32.82305,14135,2.38617
27,20,70,no-visualization,uniform-collection,linear,400,1500,0.0340279829339288,1485,37.46864,14236,2.633365
28,20,80,no-visualization,uniform-collection,linear,400,1500,0.0345376534717998,826,44.28361,17375,3.298675
29,20,90,no-visualization,uniform-collection,linear,400,1500,0.0355072428780373,1485,46.773375,18695,3.514365
30,20,100,no-visualization,uniform-collection,linear,400,1500,0.034525413685357,826,53.816585,21096,4.007785
31,20,110,no-visualization,uniform-collection,linear,400,1500,0.0359668914426513,1485,57.92613,22979,4.47795
32,20,120,no-visualization,uniform-collection,linear,400,1500,0.0377883114871933,826,62.8511,26876,5.189905
33,20,130,no-visualization,uniform-collection,linear,400,1500,0.037541407364338,1485,68.440495,28856,5.60811
34,20,140,no-visualization,uniform-collection,linear,400,1500,0.038032518134876,826,73.074165,26205,5.92378
35,20,150,no-visualization,uniform-collection,linear,400,1500,0.0367639689629392,1485,78.988805,31436,6.36599
36,20,160,no-visualization,uniform-collection,linear,400,1500,0.0383505052173251,826,82.099135,32911,6.69652
37,20,170,no-visualization,uniform-collection,linear,400,1500,0.0376689275644508,1485,87.045415,35388,6.96921000000001
38,20,180,no-visualization,uniform-collection,linear,400,1500,0.0384025289868237,826,90.635495,36377,7.34935
39,20,190,no-visualization,uniform-collection,linear,400,1500,0.038879010402493,1485,96.179615,39652,7.93825
40,20,200,no-visualization,uniform-collection,linear,400,1500,0.0387139191186052,826,101.31081,42315,8.377505
41,30,10,no-visualization,uniform-collection,linear,400,1500,0.12112003190176,196,13.598,5004,0.7003
42,30,20,no-visualization,uniform-collection,linear,400,1500,0.0553770207160909,0,17.05219,6358,0.586305
43,30,30,no-visualization,uniform-collection,linear,400,1500,0.0394606995515527,196,21.325355,9094,1.25661
44,30,40,no-visualization,uniform-collection,linear,400,1500,0.0277637402586012,0,26.22537,11439,1.279525
45,30,50,no-visualization,uniform-collection,linear,400,1500,0.0308689558119619,196,33.569475,12954,2.325585
46,30,60,no-visualization,uniform-collection,linear,400,1500,0.0298940502044124,0,36.67228,14752,2.424735
47,30,70,no-visualization,uniform-collection,linear,400,1500,0.0351772573172489,196,42.020575,16038,3.228055
48,30,80,no-visualization,uniform-collection,linear,400,1500,0.0319202009717168,0,46.9398,18179,3.460235
49,30,90,no-visualization,uniform-collection,linear,400,1500,0.0331544806327683,196,52.208215,21649,3.88595
50,30,100,no-visualization,uniform-collection,linear,400,1500,0.0329740707430006,0,58.41479,22584,4.43875
51,30,110,no-visualization,uniform-collection,linear,400,1500,0.0358186487842763,196,62.13643,24072,5.04964
52,30,120,no-visualization,uniform-collection,linear,400,1500,0.0359144684265388,0,66.420355,25606,5.344325
53,30,130,no-visualization,uniform-collection,linear,400,1500,0.0354162856952617,196,74.16081,29890,5.98464000000001
54,30,140,no-visualization,uniform-collection,linear,400,1500,0.0360160507146105,0,76.69625,31040,6.14428999999999
55,30,150,no-visualization,uniform-collection,linear,400,1500,0.0361172514006057,196,82.58149,32008,6.62068
56,30,160,no-visualization,uniform-collection,linear,400,1500,0.0352566839556306,0,87.86963,34902,6.86523499999999
57,30,170,no-visualization,uniform-collection,linear,400,1500,0.0363685737626146,196,92.92547,36857,7.55972500000001
58,30,180,no-visualization,uniform-collection,linear,400,1500,0.0366710481832953,0,97.60011,37214,7.98439999999999
59,30,190,no-visualization,uniform-collection,linear,400,1500,0.0364941761033127,196,103.684975,42312,8.38924500000001
60,30,200,no-visualization,uniform-collection,linear,400,1500,0.0363337128457434,0,109.9117,43049,8.991325
61,40,10,no-visualization,uniform-collection,linear,400,1500,0.0858316283732651,23,16.630105,6471,0.6689
62,40,20,no-visualization,uniform-collection,linear,400,1500,0.0409681980377962,0,21.63555,8468,1.225455
63,40,30,no-visualization,uniform-collection,linear,400,1500,0.0260464402326205,0,26.974025,10739,1.36362
64,40,40,no-visualization,uniform-collection,linear,400,1500,0.0293534130855294,0,32.62779,12957,2.26117
65,40,50,no-visualization,uniform-collection,linear,400,1500,0.0277655842433353,0,36.65874,14805,2.41527
66,40,60,no-visualization,uniform-collection,linear,400,1500,0.0315918764871803,0,42.60559,17416,3.16109
67,40,70,no-visualization,uniform-collection,linear,400,1500,0.0310339758858693,0,45.83733,19241,3.37427
68,40,80,no-visualization,uniform-collection,linear,400,1500,0.0321718233310854,0,51.21924,20958,3.84904
69,40,90,no-visualization,uniform-collection,linear,400,1500,0.031618210002118,0,59.067625,21779,4.49982
70,40,100,no-visualization,uniform-collection,linear,400,1500,0.033708029912219,0,63.3357,24889,5.07749
71,40,110,no-visualization,uniform-collection,linear,400,1500,0.0340670089055698,0,66.3028350000001,25093,5.264655
72,40,120,no-visualization,uniform-collection,linear,400,1500,0.0339745120544528,0,73.474685,30260,5.870695
73,40,130,no-visualization,uniform-collection,linear,400,1500,0.0335377591069687,0,77.77803,31329,6.117775
74,40,140,no-visualization,uniform-collection,linear,400,1500,0.034421158506824,0,80.93983,32308,6.491965
75,40,150,no-visualization,uniform-collection,linear,400,1500,0.0332420902311827,0,87.8860800000001,35690,6.75048
76,40,160,no-visualization,uniform-collection,linear,400,1500,0.0349549020897417,0,93.011435,36453,7.50382
77,40,170,no-visualization,uniform-collection,linear,400,1500,0.0345971571822618,0,97.94234,40062,7.91637
78,40,180,no-visualization,uniform-collection,linear,400,1500,0.0352174546532567,0,101.38694,40505,8.20187000000001
79,40,190,no-visualization,uniform-collection,linear,400,1500,0.0350665197685902,0,109.078885,44649,8.84634
80,40,200,no-visualization,uniform-collection,linear,400,1500,0.0358723555374105,0,112.852045,46010,9.29679499999999
81,50,10,no-visualization,uniform-collection,linear,400,1500,0.0576731603871038,0,20.56216,8222,1.28141
82,50,20,no-visualization,uniform-collection,linear,400,1500,0.0300691950196561,0,26.728515,10388,1.292305
83,50,30,no-visualization,uniform-collection,linear,400,1500,0.0326716899493148,0,30.991145,13219,2.136
84,50,40,no-visualization,uniform-collection,linear,400,1500,0.028362647202833,0,36.418495,13971,2.429185
85,50,50,no-visualization,uniform-collection,linear,400,1500,0.0301457086452559,0,40.190145,16898,2.99281
86,50,60,no-visualization,uniform-collection,linear,400,1500,0.0292375068373249,0,46.46291,19217,3.39816
87,50,70,no-visualization,uniform-collection,linear,400,1500,0.0292688739304283,0,53.44779,20587,3.84828
88,50,80,no-visualization,uniform-collection,linear,400,1500,0.030002327059612,0,58.6708250000001,23443,4.410475
89,50,90,no-visualization,uniform-collection,linear,400,1500,0.0326017115776861,0,61.493695,25025,4.913615
90,50,100,no-visualization,uniform-collection,linear,400,1500,0.0320911098015671,0,67.882325,26635,5.322845
91,50,110,no-visualization,uniform-collection,linear,400,1500,0.0335660775282179,0,71.090065,27176,5.76774500000001
92,50,120,no-visualization,uniform-collection,linear,400,1500,0.0320062151408156,0,77.828995,30185,6.03003500000001
93,50,130,no-visualization,uniform-collection,linear,400,1500,0.0331779032644465,0,82.868725,33906,6.53702
94,50,140,no-visualization,uniform-collection,linear,400,1500,0.0323186381039854,0,88.588865,35591,6.843655
