[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
2,10,20,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
3,10,30,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
4,10,40,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
5,10,50,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
6,10,60,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
7,10,70,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
8,10,80,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
9,10,90,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
10,10,100,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
11,10,110,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
12,10,120,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
13,10,130,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
14,10,140,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
15,10,150,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
16,10,160,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
17,10,170,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
18,10,180,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
19,10,190,no-visualization,uniform-collection,uniform,400,0,0,0,0,0,0
20,10,200,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
21,20,10,no-visualization,uniform-collection,uniform,400,1500,0.308192713416079,8892,18.771425,7453,0.749315000000001
22,20,20,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
23,20,30,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
24,20,40,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
25,20,50,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
26,20,60,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
27,20,70,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
28,20,80,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
29,20,90,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
30,20,100,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
31,20,110,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
32,20,120,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
33,20,130,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
34,20,140,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
35,20,150,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
36,20,160,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
37,20,170,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
38,20,180,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
39,20,190,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
40,20,200,no-visualization,uniform-collection,uniform,400,0,0.197976534068778,0,61.00698,23258,9.33954000000001
41,30,10,no-visualization,uniform-collection,uniform,400,1500,0.29385110106551,8087,20.08318,8254,0.833809999999999
42,30,20,no-visualization,uniform-collection,uniform,400,1500,0.271538037069585,7386,21.55163,8707,0.880084999999999
43,30,30,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
44,30,40,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
45,30,50,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
46,30,60,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
47,30,70,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
48,30,80,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
49,30,90,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
50,30,100,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
51,30,110,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
52,30,120,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
53,30,130,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
54,30,140,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
55,30,150,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
56,30,160,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
57,30,170,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
58,30,180,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
59,30,190,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
60,30,200,no-visualization,uniform-collection,uniform,400,0,0.29385110106551,8087,20.08318,8254,0.833809999999999
61,40,10,no-visualization,uniform-collection,uniform,400,1500,0.293554226336998,7354,21.99786,8769,0.928825
62,40,20,no-visualization,uniform-collection,uniform,400,1500,0.275445334887276,7036,23.67126,9631,1.004645
63,40,30,no-visualization,uniform-collection,uniform,400,1500,0.268103893090585,6642,25.42539,9834,1.11241
64,40,40,no-visualization,uniform-collection,uniform,400,0,0.275445334887276,7036,23.67126,9631,1.004645
65,40,50,no-visualization,uniform-collection,uniform,400,0,0.275445334887276,7036,23.67126,9631,1.004645
66,40,60,no-visualization,uniform-collection,uniform,400,0,0.275445334887276,7036,23.67126,9631,1.004645
67,40,70,no-visualization,uniform-collection,uniform,400,0,0.275445334887276,7036,23.67126,9631,1.004645
68,40,80,no-visualization,uniform-collection,uniform,400,0,0.275445334887276,7036,23.67126,9631,1.004645
