[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
1,0,0,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
2,0,10,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
3,0,20,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
4,0,30,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
5,0,40,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
6,0,50,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
7,0,60,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
8,0,70,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
9,0,80,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
10,0,90,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
11,0,100,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
12,0,110,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
13,0,120,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
14,0,130,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
15,0,140,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
16,0,150,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
17,0,160,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
18,0,170,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
19,0,180,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
20,0,190,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
21,0,200,color-agents-by-decile,linear-collection,linear,400,0,0,0,0,0
22,10,0,color-agents-by-decile,linear-collection,linear,400,1000,0.0777660288722394,473,22.10315,8682
23,10,10,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
24,10,20,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
25,10,30,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
26,10,40,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
27,10,50,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
28,10,60,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
29,10,70,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
30,10,80,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
31,10,90,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
32,10,100,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
33,10,110,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
34,10,120,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
35,10,130,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
36,10,140,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
37,10,150,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
38,10,160,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
39,10,170,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
40,10,180,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
41,10,190,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
42,10,200,color-agents-by-decile,linear-collection,linear,400,0,0.0272233589559467,0,207.793875,83959
43,20,0,color-agents-by-decile,linear-collection,linear,400,1000,0.0756387335935468,232,24.42855,9082
44,20,10,color-agents-by-decile,linear-collection,linear,400,1000,0.0729849957046665,0,26.2157,10099
45,20,20,color-agents-by-decile,linear-collection,linear,400,0,0.0756387335935468,232,24.42855,9082
46,20,30,color-agents-by-decile,linear-collection,linear,400,0,0.0756387335935468,232,24.42855,9082
