[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,initial-population,[step],avg-gini,starvation
1,0,0,color-agents-by-decile,400,0,0,0
2,0,10,color-agents-by-decile,400,0,0,0
3,0,20,color-agents-by-decile,400,0,0,0
4,0,30,color-agents-by-decile,400,0,0,0
5,0,40,color-agents-by-decile,400,0,0,0
6,0,50,color-agents-by-decile,400,0,0,0
7,0,60,color-agents-by-decile,400,0,0,0
8,0,70,color-agents-by-decile,400,0,0,0
9,0,80,color-agents-by-decile,400,0,0,0
10,0,90,color-agents-by-decile,400,0,0,0
11,0,100,color-agents-by-decile,400,0,0,0
12,10,0,color-agents-by-decile,400,1000,0.499619793537356,6351
13,10,10,color-agents-by-decile,400,0,0,0
14,10,20,color-agents-by-decile,400,0,0,0
15,10,30,color-agents-by-decile,400,0,0,0
16,10,40,color-agents-by-decile,400,0,0,0
17,10,50,color-agents-by-decile,400,0,0,0
18,10,60,color-agents-by-decile,400,0,0,0
19,10,70,color-agents-by-decile,400,0,0,0
20,10,80,color-agents-by-decile,400,0,0,0
21,10,90,color-agents-by-decile,400,0,0,0
22,10,100,color-agents-by-decile,400,0,0,0
23,20,0,color-agents-by-decile,400,1000,0.48961429269054,5608
24,20,10,color-agents-by-decile,400,1000,0.468253313841193,4801
25,20,20,color-agents-by-decile,400,0,0.499619793537356,6351
26,20,30,color-agents-by-decile,400,0,0.499619793537356,6351
27,20,40,color-agents-by-decile,400,0,0.499619793537356,6351
28,20,50,color-agents-by-decile,400,0,0.499619793537356,6351
29,20,60,color-agents-by-decile,400,0,0.499619793537356,6351
30,20,70,color-agents-by-decile,400,0,0.499619793537356,6351
31,20,80,color-agents-by-decile,400,0,0.499619793537356,6351
32,20,90,color-agents-by-decile,400,0,0.499619793537356,6351
33,20,100,color-agents-by-decile,400,0,0.499619793537356,6351
34,30,0,color-agents-by-decile,400,1000,0.475927999076533,4814
35,30,10,color-agents-by-decile,400,1000,0.448293694829045,4149
36,30,20,color-agents-by-decile,400,1000,0.438347656572726,3792
37,30,30,color-agents-by-decile,400,0,0.448293694829045,4149
38,30,40,color-agents-by-decile,400,0,0.448293694829045,4149
39,30,50,color-agents-by-decile,400,0,0.448293694829045,4149
40,30,60,color-agents-by-decile,400,0,0.448293694829045,4149
41,30,70,color-agents-by-decile,400,0,0.448293694829045,4149
42,30,80,color-agents-by-decile,400,0,0.448293694829045,4149
43,30,90,color-agents-by-decile,400,0,0.448293694829045,4149
44,30,100,color-agents-by-decile,400,0,0.448293694829045,4149
45,40,0,color-agents-by-decile,400,1000,0.442342992293357,4274
46,40,10,color-agents-by-decile,400,1000,0.432837970625555,3731
47,40,20,color-agents-by-decile,400,1000,0.432476270126109,3436
48,40,30,color-agents-by-decile,400,1000,0.395431895021842,3123
49,40,40,color-agents-by-decile,400,0,0.395431895021842,3123
50,40,50,color-agents-by-decile,400,0,0.395431895021842,3123
51,40,60,color-agents-by-decile,400,0,0.395431895021842,3123
52,40,70,color-agents-by-decile,400,0,0.395431895021842,3123
53,40,80,color-agents-by-decile,400,0,0.395431895021842,3123
54,40,90,color-agents-by-decile,400,0,0.395431895021842,3123
55,40,100,color-agents-by-decile,400,0,0.395431895021842,3123
56,50,0,color-agents-by-decile,400,1000,0.438665262786011,3887
57,50,10,color-agents-by-decile,400,1000,0.41795605201642,3442
58,50,20,color-agents-by-decile,400,1000,0.403768205612028,3181
59,50,30,color-agents-by-decile,400,1000,0.384618381507219,2824
60,50,40,color-agents-by-decile,400,1000,0.363574703802318,2747
61,50,50,color-agents-by-decile,400,0,0.384618381507219,2824
62,50,60,color-agents-by-decile,400,0,0.384618381507219,2824
63,50,70,color-agents-by-decile,400,0,0.384618381507219,2824
64,50,80,color-agents-by-decile,400,0,0.384618381507219,2824
65,50,90,color-agents-by-decile,400,0,0.384618381507219,2824
66,50,100,color-agents-by-decile,400,0,0.384618381507219,2824
67,60,0,color-agents-by-decile,400,1000,0.41422603453356,3595
