[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
2,10,20,no-visualization,no-collection,no-redistribution,400,0,0,0,0,0,0
3,10,30,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
4,10,40,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
5,10,50,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
6,10,60,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
7,10,70,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
8,10,80,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
9,10,90,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
10,10,100,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
11,10,110,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
12,10,120,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
13,10,130,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
14,10,140,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
15,10,150,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
16,10,160,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
17,10,170,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
18,10,180,no-visualization,no-collection,no-redistribution,400,0,0.0322349175784781,0,186.85981,75429,14.997505
