[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
2,10,20,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
3,10,30,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
4,10,40,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
5,10,50,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
6,10,60,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
7,10,70,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
8,10,80,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
9,10,90,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
10,10,100,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
11,10,110,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
12,10,120,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
13,10,130,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
14,10,140,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
15,10,150,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
16,10,160,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
17,10,170,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
18,10,180,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
19,10,190,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
20,10,200,no-visualization,dynamic-collection,dynamic,400,0,0,0,0,0,0
21,20,10,no-visualization,dynamic-collection,dynamic,400,1500,0.0738771172782428,823,12.35573,6048,0.359155
22,20,20,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
23,20,30,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
24,20,40,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
25,20,50,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
26,20,60,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
27,20,70,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
28,20,80,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
29,20,90,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
30,20,100,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
31,20,110,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
32,20,120,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
33,20,130,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
34,20,140,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
35,20,150,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
36,20,160,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
37,20,170,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
38,20,180,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
39,20,190,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
40,20,200,no-visualization,dynamic-collection,dynamic,400,0,0.194207988980716,4,29.04,11616,0.6975
41,30,10,no-visualization,dynamic-collection,dynamic,400,1500,0.0745832447347807,615,14.758885,6303,0.57661
42,30,20,no-visualization,dynamic-collection,dynamic,400,1500,0.0684868406245324,220,17.44281,7209,0.502495
43,30,30,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
44,30,40,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
45,30,50,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
46,30,60,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
47,30,70,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
48,30,80,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
49,30,90,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
50,30,100,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
51,30,110,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
52,30,120,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
53,30,130,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
54,30,140,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
55,30,150,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
56,30,160,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
57,30,170,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
58,30,180,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
59,30,190,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
60,30,200,no-visualization,dynamic-collection,dynamic,400,0,0.0745832447347807,615,14.758885,6303,0.57661
61,40,10,no-visualization,dynamic-collection,dynamic,400,1500,0.0688260085155682,184,18.230485,6469,0.555045
62,40,20,no-visualization,dynamic-collection,dynamic,400,1500,0.053084371062509,62,22.23239,9095,0.57045
63,40,30,no-visualization,dynamic-collection,dynamic,400,1500,0.0407364905164447,0,24.949145,9930,0.61921
64,40,40,no-visualization,dynamic-collection,dynamic,400,0,0.053084371062509,62,22.23239,9095,0.57045
65,40,50,no-visualization,dynamic-collection,dynamic,400,0,0.053084371062509,62,22.23239,9095,0.57045
66,40,60,no-visualization,dynamic-collection,dynamic,400,0,0.053084371062509,62,22.23239,9095,0.57045
67,40,70,no-visualization,dynamic-collection,dynamic,400,0,0.053084371062509,62,22.23239,9095,0.57045
68,40,80,no-visualization,dynamic-collection,dynamic,400,0,0.053084371062509,62,22.23239,9095,0.57045
