[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
2,10,20,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
3,10,30,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
4,10,40,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
5,10,50,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
6,10,60,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
7,10,70,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
8,10,80,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
9,10,90,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
10,10,100,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
11,10,110,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
12,10,120,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
13,10,130,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
14,10,140,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
15,10,150,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
16,10,160,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
17,10,170,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
18,10,180,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
19,10,190,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
20,10,200,no-visualization,dynamic-collection,linear,400,0,0.0307060901314259,0,186.87141,74705,0.691075
21,20,10,no-visualization,dynamic-collection,linear,400,1500,0.0748402709421996,655,11.643815,4355,0.554495
22,20,20,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
23,20,30,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
24,20,40,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
25,20,50,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
26,20,60,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
27,20,70,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
28,20,80,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
29,20,90,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
30,20,100,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
31,20,110,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
32,20,120,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
33,20,130,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
34,20,140,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
35,20,150,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
36,20,160,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
37,20,170,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
38,20,180,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
39,20,190,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
40,20,200,no-visualization,dynamic-collection,linear,400,0,0,0,0,0,0
41,30,10,no-visualization,dynamic-collection,linear,400,1500,0.0736622676626695,168,12.80723,5401,0.697555
42,30,20,no-visualization,dynamic-collection,linear,400,1500,0.0416630268760949,0,16.751115,7091,0.719294999999999
43,30,30,no-visualization,dynamic-collection,linear,400,0,0.0736622676626695,168,12.80723,5401,0.697555
44,30,40,no-visualization,dynamic-collection,linear,400,0,0.0736622676626695,168,12.80723,5401,0.697555
45,30,50,no-visualization,dynamic-collection,linear,400,0,0.0736622676626695,168,12.80723,5401,0.697555
46,30,60,no-visualization,dynamic-collection,linear,400,0,0.0736622676626695,168,12.80723,5401,0.697555
47,30,70,no-visualization,dynamic-collection,linear,400,0,0.0736622676626695,168,12.80723,5401,0.697555
48,30,80,no-visualization,dynamic-collection,linear,400,0,0.0736622676626695,168,12.80723,5401,0.697555
49,30,90,no-visualization,dynamic-collection,linear,400,0,0.0736622676626695,168,12.80723,5401,0.697555
50,30,100,no-visualization,dynamic-collection,linear,400,0,0.0736622676626695,168,12.80723,5401,0.697555
51,30,110,no-visualization,dynamic-collection,linear,400,0,0.0736622676626695,168,12.80723,5401,0.697555
