[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
2,10,20,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
3,10,30,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
4,10,40,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
5,10,50,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
6,10,60,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
7,10,70,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
8,10,80,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
9,10,90,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
10,10,100,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
11,10,110,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
12,10,120,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
13,10,130,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
14,10,140,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
15,10,150,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
16,10,160,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
17,10,170,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
18,10,180,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
19,10,190,no-visualization,linear-collection,dynamic,400,0,0,0,0,0,0
20,10,200,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
21,20,10,no-visualization,linear-collection,dynamic,400,1500,0.0414018836287583,557,9.781775,3711,0.71669
22,20,20,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
23,20,30,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
24,20,40,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
25,20,50,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
26,20,60,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
27,20,70,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
28,20,80,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
29,20,90,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
30,20,100,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
31,20,110,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
32,20,120,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
33,20,130,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
34,20,140,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
35,20,150,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
36,20,160,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
37,20,170,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
38,20,180,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
39,20,190,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
40,20,200,no-visualization,linear-collection,dynamic,400,0,0.0168117840620427,0,186.682325,75616,0.52548
41,30,10,no-visualization,linear-collection,dynamic,400,1500,0.0455059062746571,96,12.82548,4632,1.19768
42,30,20,no-visualization,linear-collection,dynamic,400,1500,0.0458325003680185,0,17.411845,6889,1.93452
43,30,30,no-visualization,linear-collection,dynamic,400,0,0.0455059062746571,96,12.82548,4632,1.19768
44,30,40,no-visualization,linear-collection,dynamic,400,0,0.0455059062746571,96,12.82548,4632,1.19768
