[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
2,10,20,no-visualization,linear-collection,poorest,400,0,0,0,0,0,0
3,10,30,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
4,10,40,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
5,10,50,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
6,10,60,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
7,10,70,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
8,10,80,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
9,10,90,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
10,10,100,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
11,10,110,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
12,10,120,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
13,10,130,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
14,10,140,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
15,10,150,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
16,10,160,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
17,10,170,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
18,10,180,no-visualization,linear-collection,poorest,400,0,0.0818392736709756,0,187.676135,74579,42.17532
