[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
2,10,20,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
3,10,30,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
4,10,40,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
5,10,50,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
6,10,60,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
7,10,70,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
8,10,80,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
9,10,90,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
10,10,100,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
11,10,110,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
12,10,120,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
13,10,130,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
14,10,140,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
15,10,150,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
16,10,160,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
17,10,170,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
18,10,180,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
19,10,190,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
20,10,200,no-visualization,linear-collection,linear,400,0,0.00988029725471617,0,186.13466,74776,5.25846
21,20,10,no-visualization,linear-collection,linear,400,1500,0.0621885486058488,223,7.55965000000001,2445,0.896999999999999
22,20,20,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
23,20,30,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
24,20,40,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
25,20,50,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
26,20,60,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
27,20,70,no-visualization,linear-collection,linear,400,0,0,0,0,0,0
