[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
2,10,20,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
3,10,30,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
4,10,40,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
5,10,50,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
6,10,60,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
7,10,70,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
8,10,80,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
9,10,90,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
10,10,100,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
11,10,110,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
12,10,120,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
13,10,130,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
14,10,140,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
15,10,150,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
16,10,160,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
17,10,170,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
18,10,180,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
19,10,190,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
20,10,200,no-visualization,linear-collection,uniform,400,0,0.0484008339137798,0,184.118115,74169,26.319055
21,20,10,no-visualization,linear-collection,uniform,400,1500,0.0338790524729977,1016,13.662175,5473,0.5343
22,20,20,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
23,20,30,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
24,20,40,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
25,20,50,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
26,20,60,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
27,20,70,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
28,20,80,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
29,20,90,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
30,20,100,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
31,20,110,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
32,20,120,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
33,20,130,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
34,20,140,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
35,20,150,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
36,20,160,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
37,20,170,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
38,20,180,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
39,20,190,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
40,20,200,no-visualization,linear-collection,uniform,400,0,0,0,0,0,0
41,30,10,no-visualization,linear-collection,uniform,400,1500,0.0331066787233838,740,16.362935,6492,0.87787
42,30,20,no-visualization,linear-collection,uniform,400,1500,0.0288726300415357,333,19.29801,7040,0.93043
43,30,30,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
44,30,40,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
45,30,50,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
46,30,60,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
47,30,70,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
48,30,80,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
49,30,90,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
50,30,100,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
51,30,110,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
52,30,120,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
53,30,130,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
54,30,140,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
55,30,150,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
56,30,160,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
57,30,170,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
58,30,180,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
59,30,190,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
60,30,200,no-visualization,linear-collection,uniform,400,0,0.0338790524729977,1016,13.662175,5473,0.5343
61,40,10,no-visualization,linear-collection,uniform,400,1500,0.0330966013110905,314,19.443745,7165,1.047825
62,40,20,no-visualization,linear-collection,uniform,400,1500,0.0302542012778274,147,22.296565,8995,1.34063
63,40,30,no-visualization,linear-collection,uniform,400,1500,0.026178818670612,5,26.71358,9783,1.635085
64,40,40,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
65,40,50,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
66,40,60,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
67,40,70,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
68,40,80,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
69,40,90,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
70,40,100,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
71,40,110,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
72,40,120,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
73,40,130,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
74,40,140,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
75,40,150,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
76,40,160,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
77,40,170,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
78,40,180,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
79,40,190,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
80,40,200,no-visualization,linear-collection,uniform,400,0,0.0302542012778274,147,22.296565,8995,1.34063
81,50,10,no-visualization,linear-collection,uniform,400,1500,0.0330578412359557,152,22.60759,8496,1.421895
82,50,20,no-visualization,linear-collection,uniform,400,1500,0.0292826241755093,11,26.48472,11648,1.73351
83,50,30,no-visualization,linear-collection,uniform,400,1500,0.0277059251425112,0,33.09153,13392,2.427935
84,50,40,no-visualization,linear-collection,uniform,400,1500,0.0257771632928417,0,37.41199,15032,2.61004
85,50,50,no-visualization,linear-collection,uniform,400,0,0.0277059251425112,0,33.09153,13392,2.427935
86,50,60,no-visualization,linear-collection,uniform,400,0,0.0277059251425112,0,33.09153,13392,2.427935
87,50,70,no-visualization,linear-collection,uniform,400,0,0.0277059251425112,0,33.09153,13392,2.427935
88,50,80,no-visualization,linear-collection,uniform,400,0,0.0277059251425112,0,33.09153,13392,2.427935
89,50,90,no-visualization,linear-collection,uniform,400,0,0.0277059251425112,0,33.09153,13392,2.427935
90,50,100,no-visualization,linear-collection,uniform,400,0,0.0277059251425112,0,33.09153,13392,2.427935
91,50,110,no-visualization,linear-collection,uniform,400,0,0.0277059251425112,0,33.09153,13392,2.427935
92,50,120,no-visualization,linear-collection,uniform,400,0,0.0277059251425112,0,33.09153,13392,2.427935
93,50,130,no-visualization,linear-collection,uniform,400,0,0.0277059251425112,0,33.09153,13392,2.427935
94,50,140,no-visualization,linear-collection,uniform,400,0,0.0277059251425112,0,33.09153,13392,2.427935
95,50,150,no-visualization,linear-collection,uniform,400,0,0.0277059251425112,0,33.09153,13392,2.427935
