[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,uniform-collection,dynamic,400,0,0.0270610402407918,0,186.143475,74184,14.984765
2,10,20,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
3,10,30,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
4,10,40,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
5,10,50,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
6,10,60,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
7,10,70,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
8,10,80,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
9,10,90,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
10,10,100,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
11,10,110,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
12,10,120,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
13,10,130,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
14,10,140,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
15,10,150,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
16,10,160,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
17,10,170,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
18,10,180,no-visualization,uniform-collection,dynamic,400,0,0.0270610402407918,0,186.143475,74184,14.984765
19,10,190,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
20,10,200,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
21,20,10,no-visualization,uniform-collection,dynamic,400,1500,0.147910616948824,646,11.72869,4955,0.569545
22,20,20,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
23,20,30,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
24,20,40,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
25,20,50,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
26,20,60,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
27,20,70,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
28,20,80,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
29,20,90,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
30,20,100,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
31,20,110,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
32,20,120,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
33,20,130,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
34,20,140,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
35,20,150,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
36,20,160,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
37,20,170,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
38,20,180,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
39,20,190,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
40,20,200,no-visualization,uniform-collection,dynamic,400,0,0,0,0,0,0
41,30,10,no-visualization,uniform-collection,dynamic,400,1500,0.142016605022069,246,14.276105,5983,0.521375
