[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
2,10,20,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
3,10,30,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
4,10,40,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
5,10,50,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
6,10,60,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
7,10,70,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
8,10,80,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
9,10,90,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
10,10,100,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
11,10,110,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
12,10,120,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
13,10,130,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
14,10,140,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
15,10,150,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
16,10,160,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
17,10,170,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
18,10,180,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
19,10,190,no-visualization,uniform-collection,linear,400,0,0,0,0,0,0
20,10,200,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
21,20,10,no-visualization,uniform-collection,linear,400,1500,0.140188372573674,690,12.02588,4859,0.622535
22,20,20,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
23,20,30,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
24,20,40,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
25,20,50,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
26,20,60,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
27,20,70,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
28,20,80,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
29,20,90,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
30,20,100,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
31,20,110,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
32,20,120,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
33,20,130,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
34,20,140,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
35,20,150,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
36,20,160,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
37,20,170,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
38,20,180,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
39,20,190,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
40,20,200,no-visualization,uniform-collection,linear,400,0,0.00925952695503954,0,186.514505,74973,4.946735
41,30,10,no-visualization,uniform-collection,linear,400,1500,0.135908949804625,262,13.82,5071,0.671115
42,30,20,no-visualization,uniform-collection,linear,400,1500,0.0904605694315804,3,16.74008,6480,0.69761
43,30,30,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
44,30,40,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
45,30,50,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
46,30,60,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
47,30,70,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
48,30,80,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
49,30,90,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
50,30,100,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
51,30,110,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
52,30,120,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
53,30,130,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
54,30,140,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
55,30,150,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
56,30,160,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
57,30,170,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
58,30,180,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
59,30,190,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
60,30,200,no-visualization,uniform-collection,linear,400,0,0.140188372573674,690,12.02588,4859,0.622535
61,40,10,no-visualization,uniform-collection,linear,400,1500,0.113554105295307,52,15.91854,7679,0.719745
62,40,20,no-visualization,uniform-collection,linear,400,1500,0.0563988468816373,0,20.211285,8739,1.07423
63,40,30,no-visualization,uniform-collection,linear,400,1500,0.0258681639084758,0,27.48057,11105,1.42549
64,40,40,no-visualization,uniform-collection,linear,400,0,0.0563988468816373,0,20.211285,8739,1.07423
65,40,50,no-visualization,uniform-collection,linear,400,0,0.0563988468816373,0,20.211285,8739,1.07423
66,40,60,no-visualization,uniform-collection,linear,400,0,0.0563988468816373,0,20.211285,8739,1.07423
67,40,70,no-visualization,uniform-collection,linear,400,0,0.0563988468816373,0,20.211285,8739,1.07423
68,40,80,no-visualization,uniform-collection,linear,400,0,0.0563988468816373,0,20.211285,8739,1.07423
69,40,90,no-visualization,uniform-collection,linear,400,0,0.0563988468816373,0,20.211285,8739,1.07423
70,40,100,no-visualization,uniform-collection,linear,400,0,0.0563988468816373,0,20.211285,8739,1.07423
71,40,110,no-visualization,uniform-collection,linear,400,0,0.0563988468816373,0,20.211285,8739,1.07423
72,40,120,no-visualization,uniform-collection,linear,400,0,0.0563988468816373,0,20.211285,8739,1.07423
73,40,130,no-visualization,uniform-collection,linear,400,0,0.0563988468816373,0,20.211285,8739,1.07423
