[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
3,10,30,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
4,10,40,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
5,10,50,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
6,10,60,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
7,10,70,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
8,10,80,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
9,10,90,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
10,10,100,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
11,10,110,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
12,10,120,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
13,10,130,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
14,10,140,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
15,10,150,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
16,10,160,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
17,10,170,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
18,10,180,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
19,10,190,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
20,10,200,no-visualization,uniform-collection,uniform,400,0,0.18757767746481,0,180.48757,74781,66.869325
